"","X","Address","City","State","Zip_Code","Rent_Per_Month","Year","Days_on_Trulia","Type","Sqft","Phone_Number","Bedroom_min","Bedroom_max","Bathroom_min","Bathroom_max","Assault","Arrest","Theft","Vandalism","Burglary","Crime_Other","Elementary_School_Count","Elementary_School_Avg_Score","Middle_School_Count","Middle_School_Avg_Score","High_School_Count","High_School_Avg_Score","Latitude","Longitude","EPA_Region","Population","Input_area.sq..miles.","Particulate_Matter","Ozone","NATA._Diesel_PM","NATA._Air_Toxics_Cancer_Risk","NATA._Respiratory_Hazard_Index","Traffic_Proximity_and_Volume","Lead_Paint_Indicator","Superfund_Proximity","RMP_Proximity","Hazardous_Waste_Proximity","Wastewater_Discharge_Indicator","Demographic_Index.","Minority_Population.","Low_Income_Population.","Linguistically_Isolated_Population.","Population_with_Less_Than_High_School_Education.","Population_under_Age_5.","Population_over_Age_64.","URL","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","rent_max","rent_min"
"901",901,"420 South San Pedro Street #526","Los Angeles","CA","90013","$2,000",1922,"11","Multi-Family","690","Phone not provided",NA,NA,1,"1",462,1,1783,NA,NA,NA,0,0,1,6,1,5,34.045055,-118.243376,9,31098,3.14,"12.5","38.1",2.87,93,5.6,3200,0.6,0.14,4.7,0.82,"1.2",62,68,55,17,19,3,14,"https://www.trulia.com/c/ca/los-angeles/420-s-san-pedro-st-526-los-angeles-ca-90013--2115488381",6,37,206200,2016,60372062002016,"Block 2016","G5040","U",51445,"U","S",29112,0,34.0446492,-118.2427488,NA,2000
"902",902,"548 Crestline Drive","Los Angeles","CA","90049","$17,950",1933,"12","Single-Family Home","5,753","Phone not provided","5","5",5,"5",8,1,102,NA,NA,NA,1,8,1,8,1,9,34.068866,-118.477719,9,12870,3.14,"11.5","41",1.48,49,2.5,1800,0.47,0.056,0.42,0.066,"0",14,17,11,3,2,4,22,"https://www.trulia.com/c/ca/los-angeles/548-crestline-dr-los-angeles-ca-90049--1001584423",6,37,262302,2003,60372623022003,"Block 2003","G5040","U",51445,"U","S",11830,0,34.0688487,-118.4782173,NA,17950
"903",903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.056754,-118.41508,9,26947,3.14,"12","40.1",1.59,61,3.5,2200,0.46,0.063,0.21,0.086,"0.4",22,26,17,7,4,5,20,"https://www.trulia.com/c/ca/los-angeles/1-w-century-dr-10d-los-angeles-ca-90067--2115688313",6,37,267901,1008,60372679011008,"Block 1008","G5040","U",51445,"U","S",119672,0,34.0559196,-118.4158815,NA,NA
"904",904,"6407 10th Avenue #27","Los Angeles","CA","90043","$1,675",1965,"11","Multi-Family","850","(559) 392-4065","2","2",1,"1",77,NA,179,NA,NA,NA,0,0,0,0,1,3,33.981534,-118.327966,9,37279,3.14,"12.5","37.9",1.27,54,4.3,1200,0.7,0.071,1.3,0.2,"0",75,98,52,7,26,7,12,"https://www.trulia.com/c/ca/los-angeles/6407-10th-ave-27-los-angeles-ca-90043--2175656664",6,37,234901,2003,60372349012003,"Block 2003","G5040","U",51445,"U","S",34244,0,33.9817853,-118.328644,NA,1675
"905",905,"1319 Warren Street","Los Angeles","CA","90033","$2,700",NA,"10","Single-Family Home","1,020","(626) 757-4323","3","3",1,"1",132,NA,645,NA,100,NA,0,0,1,6,2,4,34.051712,-118.220241,9,39597,3.14,"12.4","38.1",3.01,69,4.2,5000,0.56,0.14,5.5,1.1,"2.5",76,93,69,30,49,7,8,"https://www.trulia.com/c/ca/los-angeles/1319-warren-st-los-angeles-ca-90033--1031346505",6,37,203500,3000,60372035003000,"Block 3000","G5040","U",51445,"U","S",13181,0,34.0520153,-118.2208356,NA,2700
"906",906,"8716 Sunset Plaza Terrace","Los Angeles","CA","90069","$8,958",1956,"11","Single-Family Home","1,686","Phone not provided","2","2",2,"2",86,NA,598,NA,87,NA,1,8,1,3,2,6,34.100679,-118.380436,9,24122,3.14,"12","40.7",1.77,61,3.5,2400,0.45,0.094,0.3,0.086,"0",22,24,21,4,3,2,13,"https://www.trulia.com/c/ca/los-angeles/8716-sunset-plaza-ter-los-angeles-ca-90069--1045780046",6,37,194200,2020,60371942002020,"Block 2020","G5040","U",51445,"U","S",220996,0,34.0971533,-118.3795867,NA,8958
"907",907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.014078,-118.303464,9,59953,3.14,"12.6","38.1",1.38,52,2.9,1300,0.72,0.086,0.56,0.16,"0",82,97,66,20,43,8,9,"https://www.trulia.com/c/ca/los-angeles/3929-dalton-ave-los-angeles-ca-90062--2077428516",6,37,231300,3000,60372313003000,"Block 3000","G5040","U",51445,"U","S",38729,0,34.0138024,-118.3039866,NA,NA
"908",908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.026867,-118.34497,9,47916,3.14,"12.4","38.8",1.66,57,3.5,4100,0.72,0.079,0.26,0.12,"50",76,96,56,14,29,8,10,"https://www.trulia.com/c/ca/los-angeles/3022-chesapeake-ave-los-angeles-ca-90016--2077218979",6,37,220000,3001,60372200003001,"Block 3001","G5040","U",51445,"U","S",22090,0,34.026566,-118.34445,NA,NA
"909",909,"2317 Scarff Street #D","Los Angeles","CA","90007","$4,295",2015,"11",NA,"2,200","(310) 877-3389","3","3",3,"3",79,NA,506,NA,NA,NA,0,0,1,5,0,0,34.03278,-118.280067,9,57218,3.14,"12.6","38.2",2.45,64,3.8,7700,0.56,0.11,1.3,0.23,"0.00066",81,86,75,32,44,5,7,"https://www.trulia.com/c/ca/los-angeles/2317-scarff-st-d-los-angeles-ca-90007--2172634886",6,37,224410,1016,60372244101016,"Block 1016","G5040","U",51445,"U","S",45146,0,34.032224,-118.2812117,NA,4295
"910",910,"11670 San Vicente Boulevard #212","Los Angeles","CA","90049","$3,250",2012,"10","Multi-Family","800","(310) 948-3172","1","1",1,"1",36,1,550,NA,NA,NA,1,2,1,8,1,6,34.05366,-118.464565,9,37630,3.14,"11.6","40.6",1.61,60,3.3,2500,0.22,0.053,1.4,0.077,"0",30,34,25,6,5,4,14,"https://www.trulia.com/c/ca/los-angeles/11670-san-vicente-blvd-212-los-angeles-ca-90049--2328454656",6,37,264301,1000,60372643011000,"Block 1000","G5040","U",51445,"U","S",14885,0,34.053265,-118.4643115,NA,3250
"911",911,"1758 Garfield Place #1758","Los Angeles","CA","90028","$2,800",NA,"11","Multi-Family",NA,"(310) 666-4178","2","2",1,"1",202,NA,1036,NA,NA,NA,1,4,1,3,1,7,34.103055,-118.310691,9,62723,3.14,"12.2","40.2",2.18,63,3.3,3800,0.49,0.19,1.1,0.19,"0.022",53,55,52,28,20,5,12,"https://www.trulia.com/c/ca/los-angeles/1758-garfield-pl-1758-los-angeles-ca-90028--2077294472",6,37,190301,1000,60371903011000,"Block 1000","G5040","U",51445,"U","S",54047,0,34.1035541,-118.3099942,NA,2800
"912",912,"4715 Fountain Avenue #9","Los Angeles","CA","90029","$2,400",NA,"12","Multi-Family","450","(323) 243-5753",NA,NA,1,"1",182,NA,1159,NA,198,NA,1,6,1,7,1,7,34.095546,-118.292445,9,74574,3.14,"12.3","39.8",2.16,62,3.2,3700,0.56,0.24,1,0.25,"0.2",57,62,52,26,23,5,13,"https://www.trulia.com/c/ca/los-angeles/4715-fountain-ave-9-los-angeles-ca-90029--2347474803",6,37,191201,2000,60371912012000,"Block 2000","G5040","U",51445,"U","S",30036,0,34.0968372,-118.2923147,NA,2400
"913",913,"1116 1/2 West 39th","Los Angeles","CA","90037","$3,250",NA,"11",NA,"1,374","(951) 823-4840","3","3",3,"3",151,NA,486,NA,NA,NA,0,0,0,0,1,4,34.01544,-118.29506,9,59675,3.14,"12.6","38",1.58,54,3.1,3100,0.67,0.09,0.65,0.18,"0",83,94,71,25,46,7,7,"https://www.trulia.com/c/ca/los-angeles/1116-1-2-w-39th-los-angeles-ca-90037--2348982233",6,37,231220,1006,60372312201006,"Block 1006","G5040","U",51445,"U","S",15954,0,34.0148096,-118.2953368,NA,3250
"914",914,"6250 Hollywood Boulevard #6L","Los Angeles","CA","90028","$3,995",2009,"11","Multi-Family","920","Phone not provided","1","1",1,"1",202,NA,1036,NA,NA,NA,1,4,1,3,1,7,34.101599,-118.325492,9,54954,3.14,"12.2","40.3",2.2,64,3.4,4000,0.47,0.15,1.1,0.15,"0.004",52,53,50,22,17,4,10,"https://www.trulia.com/c/ca/los-angeles/6250-hollywood-blvd-6l-los-angeles-ca-90028--2077296200",6,37,191000,3003,60371910003003,"Block 3003","G5040","U",51445,"U","S",28229,0,34.100712,-118.3259205,NA,3995
"915",915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.123223,-118.34878,9,7264,3.14,"11.9","41.3",1.52,51,2.5,3700,0.53,0.14,1.3,0.11,"0.83",20,25,15,3,2,5,13,"https://www.trulia.com/c/ca/los-angeles/3031-valevista-trl-los-angeles-ca-90068--1057210434",6,37,143700,2019,60371437002019,"Block 2019","G5040","U",51445,"U","S",87119,0,34.1225313,-118.3475213,NA,NA
"916",916,"531 North Poinsettia Place","Los Angeles","CA","90036","$3,695",NA,"12","Single-Family Home","1,122","(310) 980-8566","2","2",1,"1",15,NA,263,NA,57,NA,1,4,1,4,1,6,34.081138,-118.348716,9,39531,3.14,"12.2","40",1.58,62,3.4,1800,0.67,0.1,0.34,0.1,"5.5",28,27,29,12,5,4,14,"https://www.trulia.com/c/ca/los-angeles/531-n-poinsettia-pl-los-angeles-ca-90036--2115578533",6,37,192002,3013,60371920023013,"Block 3013","G5040","U",51445,"U","S",19071,0,34.0810422,-118.3492319,NA,3695
"917",917,"1271 Granville Avenue #202","Los Angeles","CA","90025","$4,200",1981,"11","Multi-Family","1,475","Phone not provided","2","2",2,"2",36,1,550,NA,NA,NA,1,2,1,5,1,6,34.04625,-118.461145,9,52603,3.14,"11.6","40.5",1.73,62,3.5,2800,0.2,0.053,1.3,0.08,"0",34,41,28,7,6,5,12,"https://www.trulia.com/c/ca/los-angeles/1271-granville-ave-202-los-angeles-ca-90025--2077265910",6,37,267404,1002,60372674041002,"Block 1002","G5040","U",51445,"U","S",28629,0,34.0467234,-118.4622031,NA,4200
"918",918,"12320 Montana Avenue #204","Los Angeles","CA","90049","$5,650",NA,"13","Multi-Family","1,345","(310) 438-5695","2","2",2,"2",36,1,550,NA,NA,NA,1,2,1,8,1,6,34.04779,-118.475922,9,39041,3.14,"11.5","40.6",1.55,59,3.1,1800,0.28,0.052,1.5,0.076,"0",23,28,18,5,3,5,15,"https://www.trulia.com/c/ca/los-angeles/12320-montana-ave-204-los-angeles-ca-90049--2348920450",6,37,264302,3002,60372643023002,"Block 3002","G5040","U",51445,"U","S",18607,0,34.0471733,-118.475922,NA,5650
"919",919,"12320 Montana Avenue #102","Los Angeles","CA","90049","$5,900",NA,"13","Multi-Family","1,520","(424) 209-8463","3","3",2,"2",36,1,550,NA,NA,NA,1,2,1,8,1,6,34.04779,-118.475922,9,39041,3.14,"11.5","40.6",1.55,59,3.1,1800,0.28,0.052,1.5,0.076,"0",23,28,18,5,3,5,15,"https://www.trulia.com/c/ca/los-angeles/12320-montana-ave-102-los-angeles-ca-90049--2345467594",6,37,264302,3002,60372643023002,"Block 3002","G5040","U",51445,"U","S",18607,0,34.0471733,-118.475922,NA,5900
"920",920,"5460 Edgewood Place","Los Angeles","CA","90019","$2,800",1923,"14","Single-Family Home","780","Phone not provided",NA,NA,1,"1",201,NA,1163,NA,254,NA,1,4,1,7,1,6,34.054424,-118.351773,9,52647,3.14,"12.3","39.4",1.56,63,3.6,2600,0.7,0.091,0.16,0.098,"110",48,63,33,10,11,6,10,"https://www.trulia.com/c/ca/los-angeles/5460-edgewood-pl-los-angeles-ca-90019--1042619330",6,37,216200,5004,60372162005004,"Block 5004","G5040","U",51445,"U","S",45205,0,34.0538744,-118.3521525,NA,2800
"921",921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.095953,-118.333266,9,56245,3.14,"12.2","40.3",2.07,64,3.4,3400,0.43,0.13,0.84,0.13,"0.0023",46,46,46,18,14,3,10,"https://www.trulia.com/c/ca/los-angeles/1357-seward-st-los-angeles-ca-90028--2077293623",6,37,190700,3006,60371907003006,"Block 3006","G5040","U",51445,"U","S",18715,0,34.0952783,-118.3337099,NA,NA
"922",922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.045361,-118.258432,9,51011,3.14,"12.5","38.3",2.76,87,5.1,5500,0.51,0.14,2.8,0.49,"0.46",70,77,62,22,26,4,12,"https://www.trulia.com/c/ca/los-angeles/801-s-grand-ave-1407-los-angeles-ca-90017--2115506916",6,37,207710,1044,60372077101044,"Block 1044","G5040","U",51445,"U","S",25836,0,34.0454884,-118.2591476,NA,NA
"923",923,"2205 Oros Street","Los Angeles","CA","90031","$2,150",NA,"14","Single-Family Home","1,309","(562) 716-5920","2","2",1,"1",32,2,220,NA,NA,NA,1,6,1,6,1,6,34.085988,-118.229532,9,21896,3.14,"12.2","39.2",2.29,60,3.2,4700,0.67,0.27,1.7,0.32,"3.4",73,92,54,23,42,6,12,"https://www.trulia.com/c/ca/los-angeles/2205-oros-st-los-angeles-ca-90031--2077302821",6,37,197200,1025,60371972001025,"Block 1025","G5040","U",51445,"U","S",40416,0,34.0859103,-118.2289512,NA,2150
"924",924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.047666,-118.249341,9,41908,3.14,"12.5","38.2",2.85,90,5.3,4900,0.49,0.14,3.9,0.67,"0.96",62,71,54,18,19,3,13,"https://www.trulia.com/c/ca/los-angeles/460-s-spring-st-1011-los-angeles-ca-90013--2115488645",6,37,207302,2005,60372073022005,"Block 2005","G5040","U",51445,"U","S",12824,0,34.0479301,-118.248685,NA,NA
"925",925,"806 North Alfred Street","Los Angeles","CA","90069","$3,295",1929,"13","Multi-Family","1,375","(323) 653-9090","2","2",1,"1",15,NA,263,NA,57,NA,1,7,1,3,1,6,34.085609,-118.375268,9,43396,3.14,"12.1","40.4",1.76,65,3.8,3100,0.49,0.089,0.25,0.087,"0",25,26,25,7,4,3,13,"https://www.trulia.com/c/ca/los-angeles/806-n-alfred-st-los-angeles-ca-90069--1136388799",6,37,194402,1009,60371944021009,"Block 1009","G5040","U",51445,"U","S",18152,0,34.0861758,-118.374749,NA,3295
"926",926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.115703,-118.204332,9,44447,3.14,"11.8","40.1",1.49,53,2.4,1100,0.67,0.21,0.6,0.21,"0.031",66,84,49,15,31,6,10,"https://www.trulia.com/c/ca/los-angeles/5153-irvington-pl-los-angeles-ca-90042--2077371264",6,37,183510,3004,60371835103004,"Block 3004","G5040","U",51445,"U","S",39370,0,34.1161848,-118.2050445,NA,NA
"927",927,"11923 Gorham Avenue #102","Los Angeles","CA","90049","$4,795",NA,"14","Multi-Family",NA,"(310) 313-0065","3","3",2,"2",36,1,550,NA,NA,NA,1,2,1,8,1,6,34.051022,-118.469822,9,38215,3.14,"11.6","40.6",1.56,59,3.2,1900,0.23,0.053,1.5,0.076,"0",27,31,23,6,4,5,14,"https://www.trulia.com/c/ca/los-angeles/11923-gorham-ave-102-los-angeles-ca-90049--2077415714",6,37,264302,1001,60372643021001,"Block 1001","G5040","U",51445,"U","S",40290,0,34.0510601,-118.4708065,NA,4795
"928",928,"930 North Tigertail Road","Los Angeles","CA","90049","$35,000",1993,"13","Single-Family Home","6,280","Phone not provided","6","6",6,"6",8,1,102,NA,NA,NA,1,8,1,8,1,9,34.076463,-118.484174,9,5768,3.14,"11.4","41.2",1.33,45,2.2,710,0.5,0.056,0.32,0.062,"0",12,16,7,3,2,3,23,"https://www.trulia.com/c/ca/los-angeles/930-n-tigertail-rd-los-angeles-ca-90049--2115652665",6,37,262301,1019,60372623011019,"Block 1019","G5040","U",51445,"U","S",464382,0,34.0787857,-118.4890611,NA,35000
"929",929,"313 North Orange Drive","Los Angeles","CA","90036","$5,600",1929,"14","Multi-Family","2,400","Phone not provided","3","3",3,"3",26,NA,298,NA,110,NA,0,0,1,7,1,6,34.076664,-118.341916,9,36248,3.14,"12.2","39.8",1.47,62,3.3,1300,0.72,0.11,0.26,0.11,"14",28,32,25,8,4,5,11,"https://www.trulia.com/c/ca/los-angeles/313-n-orange-dr-los-angeles-ca-90036--1148822174",6,37,214100,1005,60372141001005,"Block 1005","G5040","U",51445,"U","S",23224,0,34.077225,-118.34241,NA,5600
"930",930,"166 South Saltair Avenue","Los Angeles","CA","90049","$9,975",1954,"13","Single-Family Home","2,415","Phone not provided","3","3",2,"2",8,1,102,NA,NA,NA,1,5,1,8,1,6,34.059545,-118.475202,9,22352,3.14,"11.5","40.8",1.43,55,2.9,1900,0.31,0.054,0.83,0.071,"0",18,20,16,3,3,4,19,"https://www.trulia.com/c/ca/los-angeles/166-s-saltair-ave-los-angeles-ca-90049--1001877624",6,37,264000,2001,60372640002001,"Block 2001","G5040","U",51445,"U","S",53009,0,34.0608394,-118.4738968,NA,9975
"931",931,"6250 Hollywood Boulevard #5N","Los Angeles","CA","90028","$5,199",2009,"13","Multi-Family","1,590","Phone not provided","1","1",2,"2",202,NA,1036,NA,NA,NA,1,4,1,3,1,7,34.101599,-118.325492,9,54954,3.14,"12.2","40.3",2.2,64,3.4,4000,0.47,0.15,1.1,0.15,"0.004",52,53,50,22,17,4,10,"https://www.trulia.com/c/ca/los-angeles/6250-hollywood-blvd-5n-los-angeles-ca-90028--2077296187",6,37,191000,3003,60371910003003,"Block 3003","G5040","U",51445,"U","S",28229,0,34.100712,-118.3259205,NA,5199
"932",932,"320 N New Hampshire Ave #3201","Los Angeles","CA","90004","$2,995",NA,"9","Multi-Family Home","1,100","(323) 400-4297","3","3",2,"2",0,0,0,0,0,0,2,3,2,5,0,NA,34.0825,-118.292882,9,91400,3.14,"12.4","39.4",2.17,63,3.3,4300,0.58,0.2,0.67,0.21,"0.023",71,84,59,29,32,6,9,"https://www.trulia.com/c/ca/los-angeles/320-n-new-hampshire-ave-3201-los-angeles-ca-90004--2345431020",6,37,192610,1000,60371926101000,"Block 1000","G5040","U",51445,"U","S",21977,0,34.0826814,-118.2922972,NA,2995
"933",933,"4125 S Figueroa St #302","Los Angeles","CA","90037","$1,400",1927,"8","Multi-Family Home","542","(818) 438-3342","1","1",1,"1",0,0,0,0,0,0,2,4,2,1,0,NA,34.009011,-118.282774,9,63457,3.14,"12.6","37.7",1.96,56,3.3,5300,0.73,0.096,1.4,0.35,"0",86,96,75,27,55,8,6,"https://www.trulia.com/c/ca/los-angeles/4125-s-figueroa-st-302-los-angeles-ca-90037--2172646956",6,37,231720,1002,60372317201002,"Block 1002","G5040","U",51445,"U","S",41757,0,34.0091845,-118.2849714,NA,1400
"934",934,"128 N Swall Dr #PN7","Los Angeles","CA","90048","$5,300",1991,"9","Multi-Family Home","1,651","(310) 388-7332","2","2",3,"3",0,0,0,0,0,0,2,7,2,7,0,NA,34.076043,-118.385781,9,37773,3.14,"12.1","40.2",1.66,68,3.9,3600,0.45,0.08,0.15,0.081,"1.2",24,26,22,9,5,4,17,"https://www.trulia.com/c/ca/los-angeles/128-n-swall-dr-pn7-los-angeles-ca-90048--2324681660",6,37,214901,1001,60372149011001,"Block 1001","G5040","U",51445,"U","S",11786,0,34.0758743,-118.3853294,NA,5300
"935",935,"1346 McCollum St","Los Angeles","CA","90026","$5,000",NA,"9","Single-Family Home",NA,"(323) 660-3600","4","4",2,"2",0,0,0,0,0,0,2,1,2,7,0,NA,34.082835,-118.267814,9,49187,3.14,"12.4","39.2",2.24,62,3.3,5000,0.71,0.27,1.3,0.31,"0.38",57,70,43,15,20,5,12,"https://www.trulia.com/c/ca/los-angeles/1346-mccollum-st-los-angeles-ca-90026--2077274496",6,37,195600,4002,60371956004002,"Block 4002","G5040","U",51445,"U","S",16609,0,34.0822246,-118.2676699,NA,5000
"936",936,"2546 Lombardy Blvd","Los Angeles","CA","90032","$2,300",1929,"10","Single-Family Home","1,113","Phone not provided","3","3",2,"2",0,0,0,0,0,0,2,2,2,4,0,NA,34.076521,-118.174932,9,32168,3.14,"12.1","39",1.77,55,2.6,730,0.6,0.2,1.3,0.14,"0.00027",71,92,50,16,35,7,11,"https://www.trulia.com/c/ca/los-angeles/2546-lombardy-blvd-los-angeles-ca-90032--2077310625",6,37,201602,3004,60372016023004,"Block 3004","G5040","U",51445,"U","S",33873,0,34.0768772,-118.1749523,NA,2300
"937",937,"3823 W Avenue 42 #42","Los Angeles","CA","90065","$3,950",1924,"9","Multi-Family Home","1,650","(310) 866-0084","3","3",2,"2",0,0,0,0,0,0,2,9,3,7,0,NA,34.122607,-118.225746,9,32729,3.14,"11.8","40.5",1.7,53,2.6,1700,0.61,0.38,0.89,0.36,"0.67",56,76,37,12,19,6,14,"https://www.trulia.com/c/ca/los-angeles/3823-w-avenue-42-42-los-angeles-ca-90065--2115685218",6,37,186202,2001,60371862022001,"Block 2001","G5040","U",51445,"U","S",38438,0,34.1221956,-118.226654,NA,3950
"938",938,"Sunset Blvd and W Sunset Blvd","Los Angeles","CA","90027","$1,495",NA,"13","Multi-Family Home",NA,"(310) 933-4191","1","1",1,"1",0,0,0,0,0,0,2,3,2,3,0,NA,34.098138,-118.28704,9,62634,3.14,"12.3","39.8",1.85,60,3,2000,0.59,0.27,1.2,0.28,"0.39",50,56,45,21,19,5,13,"https://www.trulia.com/c/ca/los-angeles/address-not-disclosed-los-angeles-ca-90027--1036950614",6,37,195300,2004,60371953002004,"Block 2004","G5040","U",51445,"U","S",35170,0,34.0973837,-118.2850239,NA,1495
"939",939,"356 E Edgeware Rd #4","Los Angeles","CA","90026","$1,450",1955,"10","Multi-Family Home","550","(818) 971-9193","1","1",1,"1",0,0,0,0,0,0,2,4,2,2,0,NA,34.065405,-118.255436,9,65593,3.14,"12.4","38.6",2.57,70,3.9,5900,0.46,0.19,1.8,0.27,"0.38",76,88,63,34,38,5,12,"https://www.trulia.com/c/ca/los-angeles/356-e-edgeware-rd-4-los-angeles-ca-90026--2346952795",6,37,208000,2006,60372080002006,"Block 2006","G5040","U",51445,"U","S",33193,0,34.0650242,-118.2550797,NA,1450
"940",940,"5670 Wilshire Blvd #2 PENTHOUSE","Los Angeles","CA","90036","$7,500",1962,"10","Multi-Family Home","1,928","(310) 738-5180","2","2",2,"2",0,0,0,0,0,0,2,4,2,7,0,NA,34.062302,-118.351822,9,45147,3.14,"12.3","39.6",1.53,65,3.6,2400,0.68,0.095,0.16,0.097,"48",36,47,25,9,5,6,11,"https://www.trulia.com/c/ca/los-angeles/5670-wilshire-blvd-5-penthouse-los-angeles-ca-90036--1001547534",6,37,216300,1000,60372163001000,"Block 1000","G5040","U",51445,"U","S",20765,0,34.0614775,-118.352381,NA,7500
"941",941,"1801 S Bentley Ave #301","Los Angeles","CA","90025","$3,300",1962,"10","Multi-Family Home",NA,"(310) 475-4496","3","3",2,"2",0,0,0,0,0,0,1,8,3,3,0,NA,34.0465,-118.442105,9,43550,3.14,"11.8","40.3",1.95,64,3.8,4700,0.25,0.056,0.52,0.086,"0",37,45,30,9,7,4,13,"https://www.trulia.com/c/ca/los-angeles/1801-s-bentley-ave-301-los-angeles-ca-90025--2172936431",6,37,267200,1012,60372672001012,"Block 1012","G5040","U",51445,"U","S",39579,0,34.0462465,-118.4424779,NA,3300
"942",942,"Sunset Blvd and W Sunset Blvd","Los Angeles","CA","90027","$1,495",NA,"14","Multi-Family Home",NA,"(310) 933-4191","1","1",1,"1",0,0,0,0,0,0,2,3,2,3,0,NA,34.098138,-118.28704,9,62634,3.14,"12.3","39.8",1.85,60,3,2000,0.59,0.27,1.2,0.28,"0.39",50,56,45,21,19,5,13,"https://www.trulia.com/c/ca/los-angeles/address-not-disclosed-los-angeles-ca-90027--2175572715",6,37,195300,2004,60371953002004,"Block 2004","G5040","U",51445,"U","S",35170,0,34.0973837,-118.2850239,NA,1495
"943",943,"907 W 68th St #9115","Los Angeles","CA","90044","$1,495",NA,"14","Multi-Family Home","624","Phone not provided","1","1",1,"1",0,0,0,0,0,0,0,NA,2,1,0,NA,33.978221,-118.289623,9,56878,3.14,"12.6","37.4",1.89,54,3.5,5900,0.7,0.094,0.79,0.21,"0.00024",84,99,69,19,44,8,8,"https://www.trulia.com/c/ca/los-angeles/907-w-68th-st-9115-los-angeles-ca-90044--2346867138",6,37,237500,1010,60372375001010,"Block 1010","G5040","U",51445,"U","S",21421,0,33.9786775,-118.2903382,NA,1495
"944",944,"226 W 55th St","Los Angeles","CA","90037","$2,800",2017,"13","Multi-Family Home","1,700","(323) 552-3650","5","5",3,"3",0,0,0,0,0,0,2,3,2,2,0,NA,33.992319,-118.276825,9,68603,3.14,"12.7","37.5",2.03,56,3.4,5800,0.75,0.1,1.6,0.41,"0",87,99,75,25,54,10,6,"https://www.trulia.com/c/ca/los-angeles/226-w-55th-st-los-angeles-ca-90037--2284362693",6,37,232800,2006,60372328002006,"Block 2006","G5040","U",51445,"U","S",41158,0,33.9919565,-118.2761055,NA,2800
"945",945,"3027 Angus St","Los Angeles","CA","90039","$3,750",1950,"13","Single-Family Home","822","(323) 667-0700","2","2",1,"1",0,0,0,0,0,0,2,9,2,7,0,NA,34.106228,-118.270863,9,29385,3.14,"12.2","40",1.57,55,2.7,2000,0.66,0.66,2.2,0.58,"2.5",31,41,21,8,7,5,14,"https://www.trulia.com/c/ca/los-angeles/3027-angus-st-los-angeles-ca-90039--2077350440",6,37,195100,3007,60371951003007,"Block 3007","G5040","U",51445,"U","S",49796,0,34.1056523,-118.2703625,NA,3750
"946",946,"340 N Curson Ave #2","Los Angeles","CA","90036","$2,195",1950,"15","Multi-Family Home","750","(818) 515-0646","1","1",1,"1",0,0,0,0,0,0,3,4,3,4,0,NA,34.077348,-118.355278,9,46307,3.14,"12.2","40",1.53,63,3.5,1600,0.68,0.099,0.25,0.099,"12",29,30,28,10,4,5,12,"https://www.trulia.com/c/ca/los-angeles/340-n-curson-ave-2-los-angeles-ca-90036--2185774713",6,37,214400,1004,60372144001004,"Block 1004","G5040","U",51445,"U","S",22260,0,34.0771787,-118.354773,NA,2195
"947",947,"1147 N Hudson Ave","Los Angeles","CA","90038","$4,000",NA,"10","Single-Family Home","1,000","(650) 549-4433","2","2",1,"1",0,0,0,0,0,0,2,2,2,3,0,NA,34.09209,-118.332496,9,48867,3.14,"12.2","40.2",2.01,64,3.4,2900,0.45,0.13,0.74,0.13,"6.2E-05",48,48,47,20,15,4,10,"https://www.trulia.com/c/ca/los-angeles/1147-n-hudson-ave-los-angeles-ca-90038--2115591079",6,37,190802,1012,60371908021012,"Block 1012","G5040","U",51445,"U","S",13626,0,34.0916329,-118.3328105,NA,4000
