"Address","City","State","Zip_Code","Rent_Per_Month","Year","Days_on_Trulia","Type","Sqft","Phone_Number","Bedroom_min","Bedroom_max","Bathroom_min","Bathroom_max","Assault","Arrest","Theft","Vandalism","Burglary","Crime_Other","Elementary_School_Count","Elementary_School_Avg_Score","Middle_School_Count","Middle_School_Avg_Score","High_School_Count","High_School_Avg_Score","Driving","Transit","Walking","Cycling","Restaurant","Groceries","Nightlife","Cafe","Shopping","Entertainment","Beauty","Active_life","Latitude","Longitude","EPA_Region","Population","Input_area.sq..miles.","Particulate_Matter","Ozone","NATA._Diesel_PM","NATA._Air_Toxics_Cancer_Risk","NATA._Respiratory_Hazard_Index","Traffic_Proximity_and_Volume","Lead_Paint_Indicator","Superfund_Proximity","RMP_Proximity","Hazardous_Waste_Proximity","Wastewater_Discharge_Indicator","Demographic_Index.","Minority_Population.","Low_Income_Population.","Linguistically_Isolated_Population.","Population_with_Less_Than_High_School_Education.","Population_under_Age_5.","Population_over_Age_64.","URL","rent_max","rent_min","Sqft_max","Sqft_min","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
"2136 Prosser Avenue","Los Angeles","CA","90025","$11,000",1992,"2","Single-Family Home","4,299","(310) 622-7479","5","5",5,5,37,2,578,NA,NA,NA,1,8,2,3,1,6,86,7,2,2,243,9,37,40,446,50,224,101,34.048595,-118.425019,9,31947,3.14,11.9,40.1,1.76,61,3.6,2700,0.41,0.059,0.28,0.088,0.25,24,30,19,8,4,5,19,"https://www.trulia.com/c/ca/los-angeles/2136-prosser-ave-los-angeles-ca-90025--2077272647",NA,11000,NA,4299,6,37,267100,4011,60372671004011,"Block 4011","G5040","U",51445,"U","S",20589,0,34.0491102,-118.4247757
"138 South Edinburgh Avenue","Los Angeles","CA","90048","$7,000",NA,"3","Single-Family Home","1,890","(213) 949-9514","4","4",2,2,5,NA,91,NA,24,NA,1,8,1,7,1,6,89,4,0,5,370,13,99,111,1192,164,665,185,34.073046,-118.363697,9,41783,3.14,12.2,40,1.5,65,3.6,1900,0.64,0.092,0.18,0.092,16,27,30,23,8,3,6,12,"https://www.trulia.com/c/ca/los-angeles/138-s-edinburgh-ave-los-angeles-ca-90048--1055117695",NA,7000,NA,1890,6,37,214600,1005,60372146001005,"Block 1005","G5040","U",51445,"U","S",26024,0,34.0730946,-118.3642092
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.970727,-118.285052,9,62735,3.14,12.6,37.3,2,55,3.7,5800,0.65,0.1,0.6,0.22,0.0087,85,99,72,19,45,9,7,"https://www.trulia.com/c/ca/los-angeles/626-w-76th-st-los-angeles-ca-90044--1005855368",NA,NA,NA,NA,6,37,237720,2003,60372377202003,"Block 2003","G5040","U",51445,"U","S",43716,0,33.9702658,-118.2848877
"1164 Wellesley Avenue #104","Los Angeles","CA","90049","$3,600",1984,"2","Multi-Family","1,400","(818) 993-4606","2","2",2,2,37,2,578,NA,NA,NA,1,2,1,8,1,6,94,2,0,3,197,16,33,45,263,49,232,201,34.043593,-118.470002,9,47779,3.14,11.6,40.5,1.65,61,3.3,1800,0.26,0.052,1.4,0.079,0,31,37,24,7,6,6,13,"https://www.trulia.com/c/ca/los-angeles/1164-wellesley-ave-104-los-angeles-ca-90049--2077413619",NA,3600,NA,1400,6,37,264302,2014,60372643022014,"Block 2014","G5040","U",51445,"U","S",12167,0,34.0431103,-118.4700354
"435 Dalehurst Avenue","Los Angeles","CA","90024","$9,950",1948,"1","Single-Family Home","2,175","Phone not provided","3","3",2,2,3,NA,177,NA,42,NA,1,9,1,5,1,6,82,3,0,12,112,4,18,32,76,33,93,29,34.074128,-118.435645,9,26118,3.14,11.8,40.6,1.43,57,3.1,890,0.37,0.063,0.28,0.073,0,35,44,33,8,4,1,16,"https://www.trulia.com/c/ca/los-angeles/435-dalehurst-ave-los-angeles-ca-90024--1001863338",NA,9950,NA,2175,6,37,265100,1002,60372651001002,"Block 1002","G5040","U",51445,"U","S",30601,0,34.0734917,-118.4359096
"1114 Cardiff Avenue","Los Angeles","CA","90035","$10,500",1926,"3","Single-Family Home","1,800","Phone not provided","3","3",1,1,2,NA,18,NA,17,NA,1,9,1,7,1,6,93,2,0,2,252,15,30,50,782,83,737,141,34.056657,-118.3918,9,42559,3.14,12.2,39.9,1.48,62,3.5,2500,0.59,0.072,0.14,0.09,23,23,24,22,10,6,5,16,"https://www.trulia.com/c/ca/los-angeles/1114-cardiff-ave-los-angeles-ca-90035--2077333977",NA,10500,NA,1800,6,37,269100,4000,60372691004000,"Block 4000","G5040","U",51445,"U","S",19369,0,34.0561712,-118.3923139
"3048 Nicada Drive","Los Angeles","CA","90077","$8,500",1978,"1","Single-Family Home","2,755","(310) 880-4523","4","4",3,3,2,NA,19,NA,11,NA,1,9,1,5,1,6,99,1,0,0,8,1,1,2,14,1,5,8,34.128839,-118.447998,9,6336,3.14,11.5,42.2,1.21,48,2.2,70,0.42,0.092,0.54,0.056,2.8,14,20,9,2,2,4,23,"https://www.trulia.com/c/ca/los-angeles/3048-nicada-dr-los-angeles-ca-90077--2077491827",NA,8500,NA,2755,6,37,261200,1000,60372612001000,"Block 1000","G5040","U",51445,"U","S",255302,0,34.1286598,-118.4452782
"3208 Rowena Avenue #320850","Los Angeles","CA","90027","$2,750",NA,"3",NA,NA,"(818) 402-0823","2","2",1,1,7,NA,165,NA,60,NA,1,9,1,7,1,7,85,9,1,5,118,6,39,29,139,40,106,83,34.111005,-118.274532,9,28162,3.14,12.1,40.1,1.49,55,2.7,2000,0.62,0.6,2.2,0.52,2.5,31,41,21,9,6,5,14,"https://www.trulia.com/c/ca/los-angeles/3208-rowena-ave-320850-los-angeles-ca-90027--2352815968",NA,2750,NA,NA,6,37,195201,1000,60371952011000,"Block 1000","G5040","U",51445,"U","S",36601,0,34.1104712,-118.2748377
"3425 Motor Avenue","Los Angeles","CA","90034","$2,250 - $2,450",NA,"913","Apartment","367-400","(424) 610-8423","1","1",1,1,27,NA,296,NA,48,NA,1,4,1,7,1,6,89,7,0,2,177,17,29,34,192,46,106,85,34.027224,-118.409208,9,52812,3.14,12,39.5,2.38,63,4,5900,0.32,0.058,0.19,0.12,50,42,54,30,6,7,6,10,"https://www.trulia.com/c/ca/los-angeles/m-lofts-3425-motor-ave-los-angeles-ca-90034--2077329773",2450,2250,400,367,6,37,269904,3000,60372699043000,"Block 3000","G5040","U",51445,"U","S",20076,0,34.0267629,-118.4095627
"4219 Don Alegre Place","Los Angeles","CA","90008","$4,500",1959,"2","Single-Family Home","1,939","(310) 670-4000","3","3",2,2,69,NA,335,NA,NA,NA,0,0,0,0,1,2,90,8,0,0,57,6,7,10,104,11,51,15,34.009673,-118.351837,9,29430,3.14,12.4,38.6,1.29,54,3.8,600,0.66,0.071,0.58,0.15,20,71,96,47,9,17,7,15,"https://www.trulia.com/c/ca/los-angeles/4219-don-alegre-pl-los-angeles-ca-90008--1139383147",NA,4500,NA,1939,6,37,236400,1001,60372364001001,"Block 1001","G5040","U",51445,"U","S",109381,0,34.0096921,-118.3529261
"10830 Massachusetts Avenue #202","Los Angeles","CA","90024","$6,250",NA,"1","Multi-Family",NA,"(323) 481-4700","2","2",3,3,3,NA,176,NA,42,NA,1,9,1,5,1,6,82,3,0,12,356,13,43,64,439,82,335,155,34.052087,-118.43782,9,43844,3.14,11.8,40.3,1.81,64,3.7,3600,0.3,0.058,0.36,0.084,0,31,36,26,9,5,3,16,"https://www.trulia.com/c/ca/los-angeles/10830-massachusetts-ave-202-los-angeles-ca-90024--2077256904",NA,6250,NA,NA,6,37,265520,2002,60372655202002,"Block 2002","G5040","U",51445,"U","S",27148,0,34.0509987,-118.4373604
"3335 S Figueroa St","Los Angeles","CA","""90007""","$997 - $1,712",NA,"180+","Apartment",NA,NA,"1","2",1,2,0,0,4,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.022126,-118.279919,9,56942,3.14,12.6,38,2.22,60,3.6,5800,0.54,0.1,1.9,0.37,0,81,85,76,27,47,6,6,"https://www.trulia.com/c/ca/los-angeles/university-gateway-student-apartments-3335-s-figueroa-st-los-angeles-ca-90007--1150319128",1712,997,NA,NA,6,37,224700,1004,60372247001004,"Block 1004","G5040","U",51445,"U","S",76239,0,34.0235671,-118.2813357
"8049 Briar Summit Drive","Los Angeles","CA","90046","$6,950",1961,"4","Single-Family Home","2,335","(310) 722-0744","2","2",2,2,74,NA,558,NA,95,NA,1,9,1,6,1,8,88,6,0,4,36,1,7,3,52,14,44,25,34.124599,-118.373236,9,7996,3.14,11.8,41.6,1.46,51,2.5,1000,0.44,0.14,0.5,0.088,2.3,15,20,10,2,2,7,17,"https://www.trulia.com/c/ca/los-angeles/8049-briar-summit-dr-los-angeles-ca-90046--1001858029",NA,6950,NA,2335,6,37,194102,3000,60371941023000,"Block 3000","G5040","U",51445,"U","S",887150,0,34.125749,-118.3672129
"2601 Ivan Hill Terrace","Los Angeles","CA","90039","$6,600",2006,"4","Single-Family Home","1,458","(323) 667-0700","3","3",2,2,23,NA,316,NA,52,NA,1,9,1,7,1,7,91,5,0,3,96,8,25,24,142,44,84,89,34.104725,-118.260321,9,25090,3.14,12.2,39.9,1.92,56,2.8,3800,0.65,1.2,2.3,0.95,3.8,39,53,25,9,11,5,13,"https://www.trulia.com/c/ca/los-angeles/2601-ivan-hill-ter-los-angeles-ca-90039--1056838136",NA,6600,NA,1458,6,37,195100,1002,60371951001002,"Block 1002","G5040","U",51445,"U","S",134428,0,34.1043792,-118.2612494
"341 South Berendo Street","Los Angeles","CA","90020","$1,625 - $2,250",NA,"75","Apartment",NA,"(213) 988-6916","1","1",1,1,168,NA,1140,NA,189,NA,1,4,1,5,1,5,76,17,0,5,690,63,148,143,617,80,469,103,34.067737,-118.294177,9,127802,3.14,12.4,39,1.89,69,3.5,2000,0.49,0.16,0.41,0.17,0,76,93,60,39,31,6,8,"https://www.trulia.com/c/ca/los-angeles/the-ritz-on-berendo-341-s-berendo-st-los-angeles-ca-90020--2115524044",2250,1625,NA,NA,6,37,211922,1000,60372119221000,"Block 1000","G5040","U",51445,"U","S",21615,0,34.0682005,-118.294781
"628 West 76th Street","Los Angeles","CA","90044","$2,650",NA,"2","Multi-Family",NA,"(323) 255-9400","3","3",2,2,245,NA,745,NA,NA,NA,0,0,0,0,0,0,84,14,0,0,87,25,13,7,90,1,57,7,33.970679,-118.284835,9,63790,3.14,12.6,37.3,2,55,3.7,5700,0.65,0.1,0.61,0.22,0.009,85,99,72,20,45,9,7,"https://www.trulia.com/c/ca/los-angeles/628-w-76th-st-los-angeles-ca-90044--2349359773",NA,2650,NA,NA,6,37,237720,2003,60372377202003,"Block 2003","G5040","U",51445,"U","S",43716,0,33.9702658,-118.2848877
"1940 South Barrington Avenue #1","Los Angeles","CA","90025","$7,200",2008,"2",NA,"2,803","(310) 801-2543","4","4",3,3,37,2,576,NA,NA,NA,1,7,1,2,1,6,86,7,2,2,269,16,46,52,327,76,226,217,34.03755,-118.450661,9,45850,3.14,11.7,40.3,2.01,63,3.7,5500,0.26,0.052,1,0.087,0,40,49,31,9,8,5,11,"https://www.trulia.com/c/ca/los-angeles/1940-s-barrington-ave-1-los-angeles-ca-90025--2115544587",NA,7200,NA,2803,6,37,267600,1004,60372676001004,"Block 1004","G5040","U",51445,"U","S",22132,0,34.0380795,-118.4504309
"111 North Gunston Drive","Los Angeles","CA","90049","$49,000",2010,"2","Single-Family Home","9,200","(310) 994-1415","6","6",8,8,5,1,104,NA,NA,NA,1,8,1,8,1,9,94,2,0,3,23,0,6,10,34,13,33,21,34.070978,-118.469615,9,20581,3.14,11.6,40.9,1.59,52,2.8,2100,0.43,0.059,0.37,0.068,0,34,40,33,4,3,2,11,"https://www.trulia.com/c/ca/los-angeles/111-n-gunston-dr-los-angeles-ca-90049--2115648340",NA,49000,NA,9200,6,37,262302,1018,60372623021018,"Block 1018","G5040","U",51445,"U","S",23713,0,34.0709035,-118.4701781
"875 Comstock Avenue #PHC","Los Angeles","CA","90024","$10,000",1961,"2","Multi-Family","2,447","(310) 285-7508","2","2",2,2,3,NA,174,NA,42,NA,1,9,1,5,1,6,82,3,0,12,142,5,36,34,226,38,152,37,34.068578,-118.425966,9,22405,3.14,11.9,40.4,1.5,59,3.3,1400,0.43,0.064,0.25,0.079,0,23,25,19,9,4,3,24,"https://www.trulia.com/c/ca/los-angeles/875-comstock-ave-phc-los-angeles-ca-90024--1001661899",NA,10000,NA,2447,6,37,265100,2002,60372651002002,"Block 2002","G5040","U",51445,"U","S",42369,0,34.0690929,-118.4271442
"853 North McCadden Place #853","Los Angeles","CA","90038","$6,000",NA,"4","Multi-Family","1,830","(310) 746-8746","3","3",3,3,185,1,1002,NA,NA,NA,1,2,1,3,1,6,69,20,0,5,365,26,198,79,853,251,368,185,34.086808,-118.337463,9,41759,3.14,12.2,40.1,1.78,63,3.3,2300,0.51,0.12,0.55,0.12,0.11,40,41,40,18,12,4,12,"https://www.trulia.com/c/ca/los-angeles/853-n-mccadden-pl-853-los-angeles-ca-90038--2345778657",NA,6000,NA,1830,6,37,191902,2004,60371919022004,"Block 2004","G5040","U",51445,"U","S",21809,0,34.0861847,-118.3380012
"2285 North Hobart Boulevard","Los Angeles","CA","90027","$12,000",NA,"2","Single-Family Home",NA,"(323) 665-1700","3","3",4,4,36,NA,470,NA,80,NA,1,6,1,7,1,7,85,9,1,5,134,19,30,26,151,51,78,42,34.113311,-118.305859,9,32169,3.14,12.2,40.3,1.88,60,3,2400,0.52,0.21,1.3,0.2,0.13,41,39,42,21,11,4,13,"https://www.trulia.com/c/ca/los-angeles/2285-n-hobart-blvd-los-angeles-ca-90027--2115553564",NA,12000,NA,NA,6,37,189300,2005,60371893002005,"Block 2005","G5040","U",51445,"U","S",79585,0,34.1114904,-118.3065065
"702 South Serrano Avenue #402","Los Angeles","CA","90005","$4,150",2007,"4","Multi-Family","1,500","(213) 434-2433","3","3",2,2,168,NA,1140,NA,189,NA,1,4,0,0,1,5,67,26,0,5,737,57,128,147,676,67,516,95,34.059399,-118.306568,9,110807,3.14,12.4,39,1.76,68,3.5,1500,0.49,0.14,0.22,0.15,0.049,75,92,58,40,28,6,10,"https://www.trulia.com/c/ca/los-angeles/702-s-serrano-ave-402-los-angeles-ca-90005--2115454394",NA,4150,NA,1500,6,37,212502,1006,60372125021006,"Block 1006","G5040","U",51445,"U","S",25692,0,34.0586837,-118.3059576
"8032 Willow Glen Road","Los Angeles","CA","90046","$5,200",NA,"3","Single-Family Home","2,064","(661) 645-6546","3","3",3,3,74,NA,558,NA,95,NA,1,9,1,6,1,8,88,6,0,4,4,2,2,2,14,7,6,11,34.118974,-118.371792,9,8406,3.14,11.9,41.3,1.32,50,2.6,440,0.5,0.12,0.5,0.089,0.78,16,17,15,1,2,7,15,"https://www.trulia.com/c/ca/los-angeles/8032-willow-glen-rd-los-angeles-ca-90046--2077404385",NA,5200,NA,2064,6,37,194102,3003,60371941023003,"Block 3003","G5040","U",51445,"U","S",227101,0,34.1195808,-118.373172
"6203 Whitworth Drive","Los Angeles","CA","90035","$3,900",NA,"5","Multi-Family","1,800","(310) 721-0092","3","3",2,2,217,NA,1227,NA,292,NA,1,4,1,5,1,6,93,2,0,2,240,14,35,64,464,108,512,136,34.056079,-118.36724,9,45049,3.14,12.2,39.6,1.51,63,3.6,2600,0.66,0.082,0.15,0.093,67,36,46,27,9,7,6,14,"https://www.trulia.com/c/ca/los-angeles/6203-whitworth-dr-los-angeles-ca-90035--1042496347",NA,3900,NA,1800,6,37,216800,1002,60372168001002,"Block 1002","G5040","U",51445,"U","S",28068,0,34.0572775,-118.3670635
"1232 1/8 North Cahuenga Boulevard","Los Angeles","CA","90038","$2,595",NA,"5","Single-Family Home",NA,"(424) 284-9416","2","2",1,1,181,1,988,NA,NA,NA,1,2,1,3,1,7,69,20,0,5,448,30,253,89,605,295,312,159,34.093597,-118.328781,9,51597,3.14,12.2,40.2,2.11,64,3.4,3700,0.45,0.14,0.83,0.14,5.9e-05,53,55,51,22,19,4,9,"https://www.trulia.com/c/ca/los-angeles/1232-1-8-n-cahuenga-blvd-los-angeles-ca-90038--2189599946",NA,2595,NA,NA,6,37,190802,3000,60371908023000,"Block 3000","G5040","U",51445,"U","S",25807,0,34.093795,-118.3277513
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.070907,-118.345205,9,38155,3.14,12.3,39.7,1.5,63,3.5,1700,0.69,0.1,0.2,0.1,23,30,35,25,9,3,5,10,"https://www.trulia.com/c/ca/los-angeles/201-s-detroit-st-los-angeles-ca-90036--2115575620",NA,NA,NA,NA,6,37,214000,4009,60372140004009,"Block 4009","G5040","U",51445,"U","S",23254,0,34.0699769,-118.3456549
"4140 Normal Avenue #4140","Los Angeles","CA","90029","$2,450",NA,"5","Multi-Family",NA,"(213) 761-8081","1","1",1,1,23,NA,321,NA,52,NA,1,5,1,7,1,7,64,29,0,6,267,36,61,50,334,59,197,56,34.086601,-118.2861,9,67728,3.14,12.3,39.5,2.23,62,3.2,4900,0.62,0.24,0.85,0.25,0.14,64,75,53,23,26,5,11,"https://www.trulia.com/c/ca/los-angeles/4140-normal-ave-4140-los-angeles-ca-90029--2346193587",NA,2450,NA,NA,6,37,191420,2000,60371914202000,"Block 2000","G5040","U",51445,"U","S",24661,0,34.0861371,-118.2856726
"6451 Weidlake Drive","Los Angeles","CA","90068","$24,500",2010,"9","Single-Family Home","9,000","(310) 880-4828","6","6",9,9,74,NA,558,NA,95,NA,1,6,1,3,1,7,91,4,0,3,139,8,141,21,136,88,63,44,34.11604,-118.329692,9,22126,3.14,12.1,40.7,1.82,58,3,3800,0.56,0.15,1.6,0.14,0.081,32,32,32,9,6,3,12,"https://www.trulia.com/c/ca/los-angeles/6451-weidlake-dr-los-angeles-ca-90068--1001791527",NA,24500,NA,9000,6,37,189600,3000,60371896003000,"Block 3000","G5040","U",51445,"U","S",200764,0,34.1172713,-118.3265414
"227 South Poinsettia Place #104","Los Angeles","CA","90036","$2,550",NA,"5","Multi-Family",NA,"(323) 460-6788","2","2",1,1,5,NA,95,NA,24,NA,1,8,1,7,1,6,88,3,0,3,280,18,68,88,823,137,339,133,34.070157,-118.348664,9,42171,3.14,12.3,39.8,1.5,64,3.5,1900,0.69,0.099,0.2,0.1,25,30,36,25,9,3,5,11,"https://www.trulia.com/c/ca/los-angeles/227-s-poinsettia-pl-104-los-angeles-ca-90036--2352797350",NA,2550,NA,NA,6,37,214000,2008,60372140002008,"Block 2008","G5040","U",51445,"U","S",17631,0,34.0702908,-118.349191
"1016 South Alfred Street","Los Angeles","CA","90035","$4,950",1935,"5","Multi-Family","2,000","(310) 918-3527","3","3",1,1,216,NA,1213,NA,291,NA,1,4,1,5,1,6,93,2,0,2,306,15,40,71,632,105,669,164,34.058829,-118.374901,9,43910,3.14,12.2,39.8,1.48,63,3.6,2700,0.64,0.079,0.14,0.091,40,30,34,26,9,6,6,15,"https://www.trulia.com/c/ca/los-angeles/1016-s-alfred-st-los-angeles-ca-90035--1054219353",NA,4950,NA,2000,6,37,216800,4001,60372168004001,"Block 4001","G5040","U",51445,"U","S",25407,0,34.0582722,-118.3743771
"12117 Stanwood Drive","Los Angeles","CA","90066","$7,995",1948,"5","Single-Family Home","2,401","(310) 612-5606","4","4",3,3,9,NA,161,NA,59,NA,1,8,1,2,1,6,89,7,0,1,103,10,17,22,134,42,92,82,34.017488,-118.440443,9,27962,3.14,11.8,39.8,1.87,57,3.6,6400,0.55,0.05,0.27,0.11,5.3,36,46,25,7,5,7,15,"https://www.trulia.com/c/ca/los-angeles/12117-stanwood-dr-los-angeles-ca-90066--2077459199",NA,7995,NA,2401,6,37,271500,3008,60372715003008,"Block 3008","G5040","U",51445,"U","S",44896,0,34.0183342,-118.4404077
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.06749,-118.362554,9,45969,3.14,12.2,39.8,1.53,66,3.7,2300,0.66,0.091,0.17,0.093,29,30,36,23,9,4,6,11,"https://www.trulia.com/c/ca/los-angeles/6130-w-5th-st-los-angeles-ca-90048--1058912935",NA,NA,NA,NA,6,37,214700,1004,60372147001004,"Block 1004","G5040","U",51445,"U","S",27427,0,34.0671606,-118.3630069
"1126 East 111th Drive","Los Angeles","CA","90059","$2,500",NA,"9","Single-Family Home","1,359","(818) 970-7675","3","3",2,2,98,NA,300,NA,NA,NA,0,0,0,0,0,0,86,13,0,0,68,12,5,7,32,10,11,10,33.933662,-118.255703,9,45043,3.14,12.6,36.9,2.21,53,3.6,4100,0.64,0.14,0.44,0.25,0.42,85,99,70,14,45,10,6,"https://www.trulia.com/c/ca/los-angeles/1126-e-111th-dr-los-angeles-ca-90059--2115659436",NA,2500,NA,1359,6,37,240900,2005,60372409002005,"Block 2005","G5040","U",51445,"U","S",28215,0,33.9332585,-118.2570435
"1173 N Curson Avenue #7","Los Angeles","CA","90046","$1,995",NA,"7","Multi-Family","700","(310) 614-9028","1","1",1,1,34,NA,364,NA,81,NA,1,8,1,3,1,6,88,6,0,4,332,30,147,84,878,191,571,227,34.092095,-118.35507,9,54391,3.14,12.1,40.4,1.89,64,3.6,2700,0.51,0.11,0.53,0.1,0.018,30,28,32,12,5,2,13,"https://www.trulia.com/c/ca/los-angeles/1173-n-curson-ave-7-los-angeles-ca-90046--2352497878",NA,1995,NA,700,6,37,700101,5004,60377001015004,"Block 5004","G5040","U",51445,"U","S",15460,0,34.0921467,-118.355824
"10747 Wilshire Boulevard #904","Los Angeles","CA","90024","$3,190",1972,"6","Multi-Family","859","(818) 625-2094","2","2",2,2,3,NA,174,NA,42,NA,1,9,1,5,1,6,82,3,0,12,226,9,25,51,208,62,227,94,34.060444,-118.437689,9,46503,3.14,11.8,40.4,1.64,63,3.5,1700,0.31,0.06,0.32,0.079,0,36,37,35,9,4,2,15,"https://www.trulia.com/c/ca/los-angeles/10747-wilshire-blvd-904-los-angeles-ca-90024--2077256033",NA,3190,NA,859,6,37,265202,4006,60372652024006,"Block 4006","G5040","U",51445,"U","S",24706,0,34.0611193,-118.4370105
"1146 Hi Point Street","Los Angeles","CA","90035","$4,199",1929,"6","Multi-Family","2,000","(818) 653-6505","3","3",3,3,217,NA,1227,NA,292,NA,1,4,1,5,1,6,93,2,0,2,217,14,28,62,408,104,427,130,34.05473,-118.367674,9,43375,3.14,12.2,39.6,1.51,62,3.5,2600,0.68,0.081,0.15,0.094,92,37,47,27,8,8,6,14,"https://www.trulia.com/c/ca/los-angeles/1146-hi-point-st-los-angeles-ca-90035--1001673393",NA,4199,NA,2000,6,37,216800,2003,60372168002003,"Block 2003","G5040","U",51445,"U","S",25359,0,34.0549714,-118.3681227
"458 South Sycamore Avenue","Los Angeles","CA","90036","$15,495",2016,"8","Single-Family Home","3,900","(818) 400-9292","5","5",5,5,22,NA,271,NA,120,NA,1,7,1,7,1,6,88,3,0,3,129,13,27,53,376,96,143,91,34.065207,-118.342878,9,38635,3.14,12.3,39.6,1.51,64,3.5,2000,0.68,0.1,0.17,0.1,35,34,44,24,9,4,6,11,"https://www.trulia.com/c/ca/los-angeles/458-s-sycamore-ave-los-angeles-ca-90036--2115577881",NA,15495,NA,3900,6,37,211000,6004,60372110006004,"Block 6004","G5040","U",51445,"U","S",21764,0,34.065901,-118.34239
"1019 South Broadway","Los Angeles","CA","90015","$3,754",2017,"9","Multi-Family","1,461","(213) 514-5777","1","1",1,1,387,2,1755,NA,NA,NA,0,0,0,0,1,5,53,38,2,8,907,57,253,199,3793,233,297,147,34.040485,-118.25794,9,39443,3.14,12.5,38.2,2.83,89,5.3,5300,0.57,0.13,3.5,0.63,0.56,68,74,61,18,24,4,12,"https://www.trulia.com/c/ca/los-angeles/1019-south-broadway-los-angeles-ca-90015--2077213859",NA,3754,NA,1461,6,37,207900,1014,60372079001014,"Block 1014","G5040","U",51445,"U","S",10717,0,34.0404468,-118.2583727
"2601 Ivan Hill Terrace","Los Angeles","CA","90039","$6,600",2006,"4","Single-Family Home","1,458","(323) 667-0700","3","3",2,2,23,NA,316,NA,52,NA,1,9,1,7,1,7,91,5,0,3,96,8,25,24,142,44,84,89,34.104725,-118.260321,9,25090,3.14,12.2,39.9,1.92,56,2.8,3800,0.65,1.2,2.3,0.95,3.8,39,53,25,9,11,5,13,"https://www.trulia.com/c/ca/los-angeles/2601-ivan-hill-ter-los-angeles-ca-90039--1056838136",NA,6600,NA,1458,6,37,195100,1002,60371951001002,"Block 1002","G5040","U",51445,"U","S",134428,0,34.1043792,-118.2612494
"812 South Orange Grove Avenue","Los Angeles","CA","90036","$2,750",NA,"9","Multi-Family","1,100","(310) 801-2131","2","2",2,2,5,NA,20,NA,12,NA,1,4,1,5,1,6,88,3,0,3,280,15,51,88,552,143,461,138,34.060542,-118.361512,9,48525,3.14,12.2,39.7,1.54,65,3.7,2400,0.66,0.089,0.16,0.094,52,36,46,26,9,5,6,11,"https://www.trulia.com/c/ca/los-angeles/812-s-orange-grove-ave-los-angeles-ca-90036--2115580830",NA,2750,NA,1100,6,37,216300,3014,60372163003014,"Block 3014","G5040","U",51445,"U","S",32252,0,34.0593854,-118.3615932
"1824 Apex Avenue","Los Angeles","CA","90026","$7,500",1983,"5","Single-Family Home","2,526","(920) 246-3325","4","4",3,3,23,NA,316,NA,52,NA,1,9,1,7,1,7,79,18,0,2,148,18,45,45,214,41,109,62,34.090118,-118.262528,9,33781,3.14,12.3,39.3,1.99,59,3,1900,0.7,0.37,1.6,0.45,0.98,45,57,33,11,14,5,12,"https://www.trulia.com/c/ca/los-angeles/1824-apex-ave-los-angeles-ca-90026--2077279422",NA,7500,NA,2526,6,37,195500,2001,60371955002001,"Block 2001","G5040","U",51445,"U","S",128013,0,34.0892385,-118.2643046
"3615 Kalsman Drive #1","Los Angeles","CA","90016","$2,900",1949,"10","Multi-Family","906","(310) 654-9041","2","2",2,2,5,NA,35,NA,8,NA,1,5,1,1,1,2,85,14,0,0,80,6,11,18,239,20,45,49,34.020918,-118.374815,9,18388,3.14,12.3,39.1,1.7,60,3.7,3900,0.68,0.069,0.26,0.13,200,57,79,35,7,20,4,15,"https://www.trulia.com/c/ca/los-angeles/3615-kalsman-dr-1-los-angeles-ca-90016--2077219887",NA,2900,NA,906,6,37,236000,4003,60372360004003,"Block 4003","G5040","U",51445,"U","S",25944,0,34.0205975,-118.3752803
"301 North Citrus Avenue","Los Angeles","CA","90036","$8,500",1935,"9","Single-Family Home","2,901","(323) 310-2525","4","4",4,4,22,NA,271,NA,120,NA,0,0,1,7,1,6,88,3,0,3,217,16,54,67,727,148,250,141,34.076433,-118.339713,9,32777,3.14,12.3,39.8,1.46,61,3.2,1300,0.72,0.11,0.27,0.11,13,28,32,24,8,4,5,11,"https://www.trulia.com/c/ca/los-angeles/301-n-citrus-ave-los-angeles-ca-90036--1004712876",NA,8500,NA,2901,6,37,214100,1007,60372141001007,"Block 1007","G5040","U",51445,"U","S",23570,0,34.077233,-118.3402375
