Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Latitude,Longitude,EPA_Region,Population,Input_area(sq. miles),Particulate_Matter,Ozone,NATA*_Diesel_PM,NATA*_Air_Toxics_Cancer_Risk,NATA*_Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index%,Minority_Population%,Low_Income_Population%,Linguistically_Isolated_Population%,Population_with_Less_Than_High_School_Education%,Population_under_Age_5%,Population_over_Age_64%,URL
1658 Valley Rd,Champaign,IL,61820,$925,1968,76,Multi-Family Home,"1,000",(217) 356-4012,2,2,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.097411,-88.249297,5,15794,3.14,10.4,39.1,1.6,40,1.7,220,0.38,0.044,1.5,0.65,0.33,40,23,53,2,2,2,5,https://www.trulia.com/rental/4038936609-1658-Valley-Rd-Champaign-IL-61820
1901 Joanne Ln,Champaign,IL,61821,$850,NA,54,Single-Family Home,NA,(217) 377-8850,3,3,1,1,0,1,6,1,0,2,10,4,6,4,2,5,40.135391,-88.271890,5,6319,3.14,10.3,39.1,1.59,36,1.8,510,0.33,0.049,4.3,0.33,0.086,62,62,62,8,15,7,10,https://www.trulia.com/rental/4039964833-1901-Joanne-Ln-Champaign-IL-61821
610 E Springfield Ave,Champaign,IL,61820,$700,NA,80,Multi-Family Home,438,(217) 359-6108,1,1,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.112717,-88.229322,5,37770,3.14,10.3,39,2.22,45,2.1,270,0.26,0.047,2,1.6,0.98,62,44,81,11,8,1,2,https://www.trulia.com/rental/3192948199-610-E-Springfield-Ave-Champaign-IL-61820
613 W Hill St,Champaign,IL,61820,"$1,290",NA,54,Multi-Family Home,"1,450",(217) 390-6685,2,2,1,1,1,3,4,1,1,0,10,4,6,4,2,4,40.119186,-88.253491,5,15344,3.14,10.3,39.1,1.93,41,1.9,510,0.64,0.047,2.5,0.6,0.37,42,34,50,4,6,5,8,https://www.trulia.com/rental/4008025646-613-W-Hill-St-Champaign-IL-61820
1912 Melrose Dr #B,Champaign,IL,61820,$760,NA,61,Multi-Family Home,900,(773) 819-5510,2,2,1,1,1,3,4,1,1,0,10,5,6,4,2,4,40.085914,-88.253324,5,7378,3.14,10.4,39.1,0.72,33,1.2,110,0.15,0.041,0.66,0.25,0.038,17,18,16,3,2,6,21,https://www.trulia.com/rental/4039604238-1912-Melrose-Dr-B-Champaign-IL-61820
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.067940,-88.295059,5,3118,3.14,10.3,39.2,0.559,29,1,140,0.053,0.037,0.2,0.14,0.0026,15,26,5,3,3,5,12,https://www.trulia.com/rental/3241231269-3607-S-Duncan-Rd-Champaign-IL-61822
107 S 3rd St,Champaign,IL,61820,"$2,399",1908,49,Single-Family Home,"2,700",(217) 649-0761,4,4,2,2,1,3,2,1,2,1,10,4,6,4,2,4,40.115547,-88.235446,5,34020,3.14,10.3,39,2.41,46,2.2,330,0.3,0.047,2.1,1.5,0.94,62,43,79,9,8,1,3,https://www.trulia.com/rental/4040148240-107-S-3rd-St-Champaign-IL-61820
2306 Rodney Dr,Champaign,IL,61821,$970,1957,61,Single-Family Home,"1,250",(312) 600-5518,3,3,2,2,1,3,3,2,1,0,10,5,6,4,2,5,40.097587,-88.285501,5,13797,3.14,10.3,39.2,1.04,35,1.4,81,0.22,0.041,0.96,0.18,0.018,29,32,27,3,4,6,16,https://www.trulia.com/rental/4039610012-2306-Rodney-Dr-Champaign-IL-61821
506 W Healey St #5,Champaign,IL,61820,$750,NA,55,Multi-Family Home,NA,(217) 356-8750,2,2,1,1,1,3,4,1,1,0,10,5,6,4,2,4,40.111706,-88.250773,5,26181,3.14,10.3,39.1,2.29,45,2.1,350,0.47,0.046,1.9,0.8,0.69,48,29,63,5,4,2,5,https://www.trulia.com/rental/4039905182-506-W-Healey-St-5-Champaign-IL-61820
1913 Melrose Dr #A,Champaign,IL,61820,$895,NA,61,Single-Family Home,700,(217) 352-1335,2,2,1,1,1,3,4,1,1,0,10,5,6,4,2,4,40.086005,-88.254801,5,7936,3.14,10.4,39.1,0.717,33,1.2,98,0.14,0.04,0.65,0.24,0.034,17,18,16,2,2,6,21,https://www.trulia.com/rental/4008188186-1913-Melrose-Dr-A-Champaign-IL-61820
1801 W John St #3,Champaign,IL,61821,$995,NA,76,Multi-Family Home,"1,600",(217) 239-4300,3,3,1,1,1,3,4,1,1,0,10,4,6,4,2,5,40.108932,-88.276748,5,13500,3.14,10.3,39.2,1.39,36,1.6,270,0.49,0.043,1.7,0.23,0.051,34,35,32,4,4,8,13,https://www.trulia.com/rental/4039650181-1801-W-John-St-3-Champaign-IL-61821
513 N Hickory St #103,Champaign,IL,61820,"$1,100",2010,77,Multi-Family Home,805,(217) 352-3498,1,1,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.120116,-88.242586,5,25422,3.14,10.3,39,2.64,47,2.3,470,0.38,0.047,2.2,0.96,0.86,60,44,74,8,8,2,5,https://www.trulia.com/rental/4004872146-513-N-Hickory-St-103-Champaign-IL-61820
1406 Cobblestone Way,Champaign,IL,61822,"$1,690",NA,55,Single-Family Home,"1,980",(217) 239-4300,3,3,2,2,5,1,0,1,2,0,10,4,6,4,2,5,40.130469,-88.304798,5,6299,3.14,10.3,39.3,0.723,30,1.1,380,0.012,0.044,1.6,0.14,0.018,25,28,21,2,2,11,7,https://www.trulia.com/rental/4039881625-1406-Cobblestone-Way-Champaign-IL-61822
706 Foley Ave,Champaign,IL,61820,$900,1940,70,Single-Family Home,812,(217) 378-7432,2,2,1,1,1,3,4,1,1,0,10,5,6,4,2,4,40.108428,-88.252935,5,23571,3.14,10.4,39.1,2.08,43,2,340,0.51,0.046,1.8,0.72,0.55,43,24,58,4,4,2,5,https://www.trulia.com/rental/3236558862-706-Foley-Ave-Champaign-IL-61820
203 E Healey St,Champaign,IL,61820,$990,NA,75,Multi-Family Home,720,(309) 212-6165,3,3,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.111428,-88.236572,5,34253,3.14,10.3,39,2.37,46,2.2,300,0.3,0.047,2,1.5,0.94,60,40,79,9,6,1,2,https://www.trulia.com/rental/3066612389-203-E-Healey-St-Champaign-IL-61820
2003 S Mattis Ave #C,Champaign,IL,61821,$745,NA,53,Townhome,870,(217) 239-4300,2,2,1,1,1,3,4,1,1,0,10,5,6,4,2,5,40.090023,-88.276438,5,12097,3.14,10.3,39.2,0.819,34,1.3,33,0.19,0.04,0.74,0.19,0.012,19,21,18,2,3,6,17,https://www.trulia.com/rental/4003175194-2003-S-Mattis-Ave-C-Champaign-IL-61821
2317 Butternut Ct,Champaign,IL,61821,"$1,490",NA,53,Single-Family Home,"1,685",(217) 840-0388,4,4,2,2,1,3,3,2,1,0,10,5,6,4,2,5,40.084756,-88.282377,5,10506,3.14,10.3,39.2,0.744,33,1.2,66,0.11,0.039,0.55,0.17,0.0051,18,21,16,2,3,5,18,https://www.trulia.com/rental/4039032184-2317-Butternut-Ct-Champaign-IL-61821
1217 W Beardsley Ave,Champaign,IL,61821,$795,NA,76,Single-Family Home,NA,(217) 377-8850,3,3,1,1,0,1,6,1,0,2,10,4,6,4,2,4,40.126522,-88.267311,5,10320,3.14,10.3,39.1,1.84,38,1.8,510,0.59,0.047,3.7,0.42,0.13,47,44,49,4,9,7,10,https://www.trulia.com/rental/4038957214-1217-W-Beardsley-Ave-Champaign-IL-61821
107 E Chalmers St,Champaign,IL,61820,$547,NA,81,Multi-Family Home,828,NA,1,1,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.106521,-88.237710,5,30254,3.14,10.3,39,2.43,47,2.2,280,0.28,0.046,1.8,1.3,0.92,59,36,80,9,5,1,2,https://www.trulia.com/rental/3171260015-107-E-Chalmers-St-Champaign-IL-61820
408 E Springfield Ave,Champaign,IL,61820,"$1,980",NA,58,Multi-Family Home,909,(217) 615-5183,3,3,2,2,1,3,2,1,2,1,10,5,6,4,2,4,40.112702,-88.232562,5,35299,3.14,10.3,39,2.32,46,2.2,280,0.27,0.047,2,1.6,0.99,62,42,81,10,7,1,2,https://www.trulia.com/rental/3213970885-408-E-Springfield-Ave-Champaign-IL-61820
1809 Valley Rd #B,Champaign,IL,61820,$825,1968,76,Multi-Family Home,860,(217) 356-4012,2,2,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.095661,-88.249396,5,13449,3.14,10.4,39.1,1.34,38,1.6,210,0.37,0.044,1.3,0.59,0.24,36,22,44,2,2,3,7,https://www.trulia.com/rental/4038957202-1809-Valley-Rd-B-Champaign-IL-61820
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.728041,-92.555302,6,327,3.14,10,39.7,0.434,51,1.8,1.8,0.035,0.023,0.069,0.043,0,13,8,17,0,15,5,18,https://www.trulia.com/rental/3093567051-1907-David-Dr-Champaign-IL-61821
503 E White St,Champaign,IL,61820,$960,NA,76,Multi-Family Home,750,(217) 352-3182,3,3,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.114394,-88.231612,5,36538,3.14,10.3,39,2.31,45,2.2,290,0.26,0.047,2.1,1.6,0.98,63,44,81,11,8,1,2,https://www.trulia.com/rental/4011994275-503-E-White-St-Champaign-IL-61820
1650 Valley Rd,Champaign,IL,61820,$900,1968,61,Multi-Family Home,"1,000",(217) 356-4012,2,2,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.097504,-88.249313,5,15855,3.14,10.4,39.1,1.59,40,1.7,220,0.38,0.044,1.5,0.65,0.33,40,23,53,2,2,2,5,https://www.trulia.com/rental/4039566717-1650-Valley-Rd-Champaign-IL-61820
1402 Grandview Dr #1,Champaign,IL,61820,$820,NA,56,Multi-Family Home,600,(217) 239-4300,1,1,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.099536,-88.248817,5,19459,3.14,10.4,39.1,1.88,42,1.9,240,0.4,0.045,1.6,0.73,0.45,45,24,60,3,3,2,4,https://www.trulia.com/rental/3225198646-1402-Grandview-Dr-1-Champaign-IL-61820
735 S Mattis Ave #3,Champaign,IL,61821,$895,NA,76,Multi-Family Home,"1,600",(217) 239-4300,3,3,1,1,1,3,4,1,1,0,10,4,6,4,2,5,40.108694,-88.276725,5,13731,3.14,10.3,39.2,1.38,36,1.6,270,0.49,0.043,1.7,0.23,0.05,34,35,32,4,4,8,13,https://www.trulia.com/rental/4038956980-735-S-Mattis-Ave-3-Champaign-IL-61821
105 E Daniel St,Champaign,IL,61820,"$1,580",NA,76,Multi-Family Home,965,(309) 212-6165,4,4,2,2,1,3,2,1,2,1,10,5,6,4,2,4,40.107920,-88.237962,5,31568,3.14,10.3,39,2.41,46,2.2,300,0.3,0.046,1.9,1.4,0.92,59,37,79,9,5,1,2,https://www.trulia.com/rental/4007409341-105-E-Daniel-St-Champaign-IL-61820
1815 Valley Rd #D,Champaign,IL,61820,$775,1968,69,Multi-Family Home,860,(217) 356-4012,2,2,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.095591,-88.249395,5,13202,3.14,10.4,39.1,1.31,38,1.6,210,0.37,0.044,1.3,0.58,0.23,36,22,44,2,2,3,7,https://www.trulia.com/rental/4039190599-1815-Valley-Rd-D-Champaign-IL-61820
756 Sedgegrass Dr,Champaign,IL,61822,"$1,720",NA,115,Single-Family Home,"1,980",(217) 239-4300,3,3,2,2,3,0,0,2,5,0,10,4,6,4,2,5,40.124072,-88.306467,5,6631,3.14,10.3,39.3,0.739,30,1.1,380,0.019,0.044,1.5,0.14,0.019,25,28,22,2,2,11,7,https://www.trulia.com/rental/4035481315-756-Sedgegrass-Dr-Champaign-IL-61822
308 E Clark St,Champaign,IL,61820,"$2,480",NA,98,Single-Family Home,NA,(217) 384-5555,4,4,3,3,1,3,2,1,2,1,10,4,6,4,2,4,40.115404,-88.234511,5,34349,3.14,10.3,39,2.39,46,2.2,320,0.29,0.047,2.1,1.6,0.97,62,43,80,9,8,1,3,https://www.trulia.com/rental/4034936033-308-E-Clark-St-Champaign-IL-61820
201 W Green St #101,Champaign,IL,61820,"$1,050",2017,111,Multi-Family Home,543,(217) 356-8750,1,1,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.110125,-88.245217,5,29868,3.14,10.3,39.1,2.5,46,2.3,330,0.38,0.046,1.9,0.92,0.79,53,32,71,7,5,1,3,https://www.trulia.com/rental/4003560561-201-W-Green-St-101-Champaign-IL-61820
1903 Karen Ct #3,Champaign,IL,61822,$825,2015,104,Townhome,"1,150",(217) 418-2642,2,2,1,1,1,3,4,1,1,0,10,5,6,4,2,4,40.083176,-88.278961,5,9875,3.14,10.3,39.2,0.719,33,1.2,59,0.1,0.039,0.54,0.17,0.0047,18,20,15,3,3,5,17,https://www.trulia.com/rental/4037548520-1903-Karen-Ct-3-Champaign-IL-61822
610 E Stoughton St,Champaign,IL,61820,$895,NA,112,Multi-Family Home,850,(309) 212-6165,3,3,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.113550,-88.229294,5,36462,3.14,10.3,39,2.29,46,2.2,270,0.26,0.047,2,1.7,1,62,43,81,11,8,1,2,https://www.trulia.com/rental/4007407296-610-E-Stoughton-St-Champaign-IL-61820
305 E White St #12,Champaign,IL,61820,$795,NA,117,Multi-Family Home,675,(217) 356-8750,2,2,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.114406,-88.234691,5,34035,3.14,10.3,39,2.39,46,2.2,310,0.3,0.047,2.1,1.6,0.98,61,42,80,9,7,1,3,https://www.trulia.com/rental/3193652834-305-E-White-St-12-Champaign-IL-61820
1008 N Hickory St #2,Champaign,IL,61820,$600,NA,103,Multi-Family Home,NA,(217) 377-8850,3,3,1,1,1,0,3,2,1,3,10,4,6,4,2,4,40.125627,-88.242287,5,12826,3.14,10.3,39,2.34,44,2.2,540,0.45,0.049,2.4,0.92,0.55,60,58,63,10,9,4,7,https://www.trulia.com/rental/3063083377-1008-N-Hickory-St-2-Champaign-IL-61820
800 W Church St #14,Champaign,IL,61820,$550,NA,96,Multi-Family Home,550,(217) 356-8750,2,2,1,1,1,3,4,1,1,0,10,4,6,4,2,4,40.118284,-88.255980,5,14331,3.14,10.3,39.1,1.79,40,1.8,490,0.68,0.046,2.6,0.54,0.24,38,31,45,3,6,5,9,https://www.trulia.com/rental/4037914119-800-W-Church-St-14-Champaign-IL-61820
57 E Springfield Ave #SINGLE ROOM,Champaign,IL,61820,$400,NA,90,Multi-Family Home,NA,NA,7,7,3,3,1,3,2,1,2,1,10,4,6,4,2,4,40.112592,-88.239321,5,32153,3.14,10.3,39,2.45,46,2.2,320,0.34,0.047,2,1.2,0.87,58,39,77,8,6,1,3,https://www.trulia.com/rental/3227865893-57-E-Springfield-Ave-SINGLE-ROOM-Champaign-IL-61820
1515 Stonebluff Ct,Champaign,IL,61822,"$1,690",NA,111,Single-Family Home,"1,980",(217) 239-4300,3,3,2,2,5,1,0,1,2,0,10,4,6,4,2,5,40.133441,-88.302798,5,6147,3.14,10.3,39.3,0.723,30,1.1,390,0.012,0.044,1.5,0.14,0.017,25,29,21,2,2,11,6,https://www.trulia.com/rental/4037180283-1515-Stonebluff-Ct-Champaign-IL-61822
1001 N Walnut St,Champaign,IL,61820,"$1,200",NA,90,Single-Family Home,"2,000",(217) 239-4300,4,4,3,3,1,0,3,2,1,3,10,4,6,4,2,4,40.125087,-88.241116,5,17296,3.14,10.3,39,2.39,44,2.2,560,0.36,0.049,2.4,1.1,0.58,64,58,71,13,9,3,6,https://www.trulia.com/rental/3233741457-1001-N-Walnut-St-Champaign-IL-61820
202 E Springfield Ave #3A,Champaign,IL,61820,$500,1970,105,Multi-Family Home,NA,(217) 469-6391,1,1,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.112665,-88.236683,5,33200,3.14,10.3,39,2.41,46,2.2,320,0.31,0.047,2,1.5,0.95,60,41,79,9,7,1,3,https://www.trulia.com/rental/3079692065-202-E-Springfield-Ave-3A-Champaign-IL-61820
407 S State St #16,Champaign,IL,61820,$775,NA,92,Multi-Family Home,NA,(217) 356-8750,2,2,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.111866,-88.246839,5,30847,3.14,10.3,39.1,2.48,46,2.3,330,0.41,0.046,1.9,0.91,0.78,53,33,70,7,5,1,4,https://www.trulia.com/rental/3235113617-407-S-State-St-16-Champaign-IL-61820
302 E Clark St,Champaign,IL,61820,"$2,045",NA,89,Single-Family Home,"1,500",(217) 239-4300,4,4,2,2,1,3,2,1,2,1,10,4,6,4,2,4,40.115405,-88.235172,5,34406,3.14,10.3,39,2.39,46,2.2,320,0.3,0.047,2.1,1.5,0.94,62,43,79,9,8,1,3,https://www.trulia.com/rental/3030511371-302-E-Clark-St-Champaign-IL-61820
1113 Arbor St,Champaign,IL,61820,$650,NA,6,Multi-Family Home,260,(217) 384-0333,1,1,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.104343,-88.236600,5,31869,3.14,10.3,39,2.28,46,2.2,240,0.25,0.046,1.7,1.3,0.87,59,37,82,10,5,1,1,https://www.trulia.com/rental/3236009646-1113-Arbor-St-SINGLE-ROOM-Champaign-IL-61820
606 S Mattis Ave,Champaign,IL,61821,$800,NA,83,Multi-Family Home,750,(217) 359-3527,2,2,1,1,1,3,4,1,1,0,10,4,6,4,2,5,40.109752,-88.276665,5,13403,3.14,10.3,39.2,1.4,36,1.6,280,0.49,0.043,1.8,0.24,0.053,33,35,32,4,4,8,13,https://www.trulia.com/rental/3239784551-606-S-Mattis-Ave-Champaign-IL-61821
305 E White St #1,Champaign,IL,61820,$595,NA,111,Multi-Family Home,415,(217) 356-8750,1,1,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.114406,-88.234691,5,34035,3.14,10.3,39,2.39,46,2.2,310,0.3,0.047,2.1,1.6,0.98,61,42,80,9,7,1,3,https://www.trulia.com/rental/3186957631-305-E-White-St-1-Champaign-IL-61820
1505 Lincolnshire Dr,Champaign,IL,61821,$795,NA,85,Townhome,"1,100",(217) 239-4300,2,2,1,1,1,3,4,1,1,0,10,4,6,4,2,4,40.097290,-88.270321,5,13317,3.14,10.3,39.2,0.964,35,1.4,64,0.36,0.042,1.1,0.23,0.035,22,23,20,2,3,7,16,https://www.trulia.com/rental/3235498309-1505-Lincolnshire-Dr-Champaign-IL-61821
312 E White St #13,Champaign,IL,61820,$575,NA,111,Multi-Family Home,350,(217) 356-8750,1,1,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.114450,-88.233983,5,33914,3.14,10.3,39,2.39,46,2.2,310,0.28,0.047,2.1,1.6,0.99,62,43,81,9,8,1,2,https://www.trulia.com/rental/3103446166-312-E-White-St-13-Champaign-IL-61820
107 E Chalmers St,Champaign,IL,61820,$547,NA,82,Multi-Family Home,828,NA,1,1,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.106521,-88.237710,5,30254,3.14,10.3,39,2.43,47,2.2,280,0.28,0.046,1.8,1.3,0.92,59,36,80,9,5,1,2,https://www.trulia.com/rental/3171260015-107-E-Chalmers-St-Champaign-IL-61820
1019 W Bradley Ave,Champaign,IL,61821,$599,NA,110,Single-Family Home,NA,(217) 377-8850,2,2,1,1,0,1,6,1,0,2,10,4,6,4,2,4,40.127200,-88.262352,5,11937,3.14,10.3,39.1,1.86,38,1.8,500,0.58,0.048,3.5,0.47,0.16,48,45,52,4,9,7,9,https://www.trulia.com/rental/4037277890-1019-W-Bradley-Ave-Champaign-IL-61821
3422 Stoneway Ct,Champaign,IL,61822,"$1,200",2008,84,Townhome,"1,572",(217) 352-1234,3,3,3,3,5,1,0,1,2,0,10,4,6,4,2,5,40.131186,-88.302531,5,6346,3.14,10.3,39.3,0.723,30,1.1,380,0.012,0.044,1.6,0.14,0.018,25,28,21,2,2,11,7,https://www.trulia.com/rental/4038446298-3422-Stoneway-Ct-Champaign-IL-61822
746 Sedgegrass Dr,Champaign,IL,61822,"$1,720",NA,89,Single-Family Home,"1,980",(217) 239-4300,3,3,2,2,3,0,0,2,5,0,10,4,6,4,2,5,40.123523,-88.306563,5,7075,3.14,10.3,39.3,0.735,30,1.1,380,0.018,0.044,1.5,0.14,0.019,25,28,22,2,2,10,7,https://www.trulia.com/rental/4035481304-746-Sedgegrass-Dr-Champaign-IL-61822
1513 Lincolnshire Dr,Champaign,IL,61821,$830,NA,83,Townhome,"1,100",(217) 239-4300,2,2,1,1,1,3,4,1,1,0,10,4,6,4,2,4,40.097298,-88.270392,5,13384,3.14,10.3,39.2,0.965,35,1.4,64,0.36,0.042,1.1,0.23,0.034,22,23,20,2,3,7,16,https://www.trulia.com/rental/3236648813-1513-Lincolnshire-Dr-Champaign-IL-61821
1616 Maynard Dr #A,Champaign,IL,61822,$975,1979,85,Multi-Family Home,"1,580",(217) 352-8100,3,3,1,1,2,1,1,1,5,0,10,5,6,4,2,5,40.097204,-88.298067,5,10440,3.14,10.3,39.3,1.07,33,1.3,210,0.14,0.04,0.79,0.15,0.021,25,27,22,2,3,6,16,https://www.trulia.com/rental/4017378121-1616-Maynard-Dr-A-Champaign-IL-61822
1516 Greyrock Ln,Champaign,IL,61822,"$1,690",NA,112,Single-Family Home,"1,980",(217) 239-4300,3,3,2,2,5,1,0,1,2,0,10,4,6,4,2,5,40.132922,-88.303438,5,6119,3.14,10.3,39.3,0.723,30,1.1,390,0.012,0.044,1.5,0.14,0.017,25,29,21,2,2,11,6,https://www.trulia.com/rental/4035113813-1516-Greyrock-Ln-Champaign-IL-61822
622 W Clark St #3,Champaign,IL,61820,$795,NA,117,Multi-Family Home,900,(217) 239-4300,2,2,1,1,1,3,4,1,1,0,10,5,6,4,2,4,40.115342,-88.254040,5,17005,3.14,10.3,39.1,2.03,42,2,480,0.61,0.046,2.2,0.62,0.45,41,29,52,4,4,4,7,https://www.trulia.com/rental/3241561720-622-W-Clark-St-3-Champaign-IL-61820
312 E White St #31,Champaign,IL,61820,$750,NA,117,Multi-Family Home,585,(217) 356-8750,2,2,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.114450,-88.233983,5,33914,3.14,10.3,39,2.39,46,2.2,310,0.28,0.047,2.1,1.6,0.99,62,43,81,9,8,1,2,https://www.trulia.com/rental/4036952692-312-E-White-St-31-Champaign-IL-61820
505 S 1st St #202,Champaign,IL,61820,"$2,800",2016,125,Multi-Family Home,"1,370",(217) 356-8750,4,4,2,2,1,3,2,1,2,1,10,4,6,4,2,4,40.111867,-88.238756,5,31742,3.14,10.3,39,2.45,46,2.2,330,0.33,0.047,2,1.3,0.9,58,38,77,8,6,1,3,https://www.trulia.com/rental/4036509771-505-S-1st-St-202-Champaign-IL-61820
709 S State St,Champaign,IL,61820,"$1,400",NA,130,Single-Family Home,"2,150",(217) 356-8750,5,5,2,2,1,3,2,1,2,1,10,5,6,4,2,4,40.108247,-88.246800,5,29624,3.14,10.3,39.1,2.46,46,2.2,330,0.38,0.046,1.9,0.9,0.78,52,31,70,7,5,2,4,https://www.trulia.com/rental/3098078121-709-S-State-St-Champaign-IL-61820
609 S Randolph St #108-A,Champaign,IL,61820,"$1,600",NA,125,Multi-Family Home,"1,400",(217) 356-8750,4,4,4,4,1,3,2,1,2,1,10,5,6,4,2,4,40.109319,-88.245176,5,29631,3.14,10.3,39.1,2.5,46,2.3,330,0.38,0.046,1.9,0.92,0.8,53,32,72,7,5,1,3,https://www.trulia.com/rental/4036509770-609-S-Randolph-St-108-A-Champaign-IL-61820
204 S 5th St #405,Champaign,IL,61820,"$2,300",2015,118,Multi-Family Home,"1,030",(217) 356-8750,3,3,2,2,1,3,2,1,2,1,10,4,6,4,2,4,40.114980,-88.232055,5,36607,3.14,10.3,39,2.31,45,2.2,290,0.27,0.047,2.1,1.6,0.97,63,44,81,10,8,1,2,https://www.trulia.com/rental/4036916208-204-S-5th-St-405-Champaign-IL-61820
609 S Randolph St #111-A,Champaign,IL,61820,$950,NA,118,Multi-Family Home,325,(217) 356-8750,2,2,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.109319,-88.245176,5,29631,3.14,10.3,39.1,2.5,46,2.3,330,0.38,0.046,1.9,0.92,0.8,53,32,72,7,5,1,3,https://www.trulia.com/rental/4036916236-609-S-Randolph-St-111-A-Champaign-IL-61820
406 E Park St #HOUSE,Champaign,IL,61820,"$2,100",1925,167,Single-Family Home,"2,500",(217) 369-2150,6,6,3,3,1,3,2,1,2,1,10,4,6,4,2,4,40.117363,-88.233053,5,31388,3.14,10.3,39,2.56,47,2.3,350,0.27,0.047,2.2,1.7,1,64,46,81,10,8,1,3,https://www.trulia.com/rental/3184783460-406-E-Park-St-HOUSE-Champaign-IL-61820
801 N Randolph St #A,Champaign,IL,61820,"$1,100",NA,179,Multi-Family Home,"1,019",(217) 352-3498,3,3,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.122909,-88.245249,5,16937,3.14,10.3,39.1,2.46,45,2.2,560,0.45,0.048,2.3,0.88,0.72,57,49,66,9,8,4,6,https://www.trulia.com/rental/4011473229-801-N-Randolph-St-A-Champaign-IL-61820
312 E White St #12,Champaign,IL,61820,$900,NA,124,Multi-Family Home,750,(217) 356-8750,3,3,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.114450,-88.233983,5,33914,3.14,10.3,39,2.39,46,2.2,310,0.28,0.047,2.1,1.6,0.99,62,43,81,9,8,1,2,https://www.trulia.com/rental/4036613635-312-E-White-St-12-Champaign-IL-61820
305 E White St #12,Champaign,IL,61820,$795,NA,117,Multi-Family Home,675,(217) 356-8750,2,2,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.114406,-88.234691,5,34035,3.14,10.3,39,2.39,46,2.2,310,0.3,0.047,2.1,1.6,0.98,61,42,80,9,7,1,3,https://www.trulia.com/rental/3193652834-305-E-White-St-12-Champaign-IL-61820
107 E Daniel St #203,Champaign,IL,61820,"$1,800",NA,145,Multi-Family Home,NA,(217) 384-5555,4,4,2,2,1,3,2,1,2,1,10,5,6,4,2,4,40.107920,-88.237723,5,31719,3.14,10.3,39,2.4,46,2.2,300,0.3,0.046,1.9,1.4,0.93,59,37,80,9,6,1,2,https://www.trulia.com/rental/4000817633-107-E-Daniel-St-203-Champaign-IL-61820
208 E White St #8,Champaign,IL,61820,$799,NA,124,Multi-Family Home,900,(217) 356-8750,3,3,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.114462,-88.236122,5,33405,3.14,10.3,39,2.41,46,2.2,320,0.3,0.047,2.1,1.5,0.95,61,42,79,9,7,1,3,https://www.trulia.com/rental/3168413236-208-E-White-St-8-Champaign-IL-61820
313 W Stanage Ave,Champaign,IL,61820,"$1,200",NA,131,Single-Family Home,"1,116",(217) 356-8750,3,3,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.104917,-88.248210,5,26088,3.14,10.4,39.1,2.26,45,2.1,290,0.39,0.045,1.7,0.83,0.73,49,28,65,5,3,2,4,https://www.trulia.com/rental/3162582141-313-W-Stanage-Ave-Champaign-IL-61820
