Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Latitude,Longitude,EPA_Region,Population,Input_area(sq. miles),Particulate_Matter,Ozone,NATA*_Diesel_PM,NATA*_Air_Toxics_Cancer_Risk,NATA*_Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index%,Minority_Population%,Low_Income_Population%,Linguistically_Isolated_Population%,Population_with_Less_Than_High_School_Education%,Population_under_Age_5%,Population_over_Age_64%,URL
533 County Road 1600 N #1600N,Champaign,IL,61822,$975,NA,26,Multi-Family Home,NA,(217) 398-5899,3,3,2,2,0,0,0,0,0,0,10,4,6,4,0,NA,40.113124,-88.360076,5,418,3.14,10.3,39.2,0.363,26,0.77,40,0.37,0.034,0.17,0.069,0.00054,24,14,35,0,6,12,11,https://trulia.com/c/il//champaign/533-county-road-1600-n-1600n-champaign-il-61822--2183578725
717 Dover Pl,Champaign,IL,61820,"$1,050",1960,35,Single-Family Home,983,(281) 826-1586,3,3,1,1,0,0,0,0,0,0,10,5,6,4,0,NA,40.095348,-88.255437,5,9662,3.14,10.4,39.1,0.961,36,1.4,130,0.38,0.042,1.1,0.34,0.087,20,17,22,1,2,5,15,https://trulia.com/c/il//champaign/717-dover-pl-champaign-il-61820--1078527604
1330 Mainer Way,Champaign,IL,61822,$830,2014,29,Multi-Family Home,NA,(217) 819-4655,2,2,2,2,0,0,0,0,0,0,10,4,6,4,0,NA,40.076380,-88.261485,5,5902,3.14,10.4,39.2,0.64,32,1.2,140,0.06,0.039,0.4,0.2,0.0099,16,18,14,3,3,5,25,https://trulia.com/c/il//champaign/1330-mainer-way-champaign-il-61822--2345473859
605 N State St,Champaign,IL,61820,"$1,137",1920,48,Single-Family Home,"1,035",(217) 352-3498,3,3,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.121712,-88.246918,5,17775,3.14,10.3,39.1,2.39,44,2.2,550,0.47,0.048,2.4,0.82,0.7,55,46,65,8,7,4,6,https://trulia.com/c/il//champaign/605-n-state-st-champaign-il-61820--2105192136
Melrose Dr and Phoenix Dr,Champaign,IL,61820,$825,NA,18,Multi-Family Home,"1,000",(510) 289-4378,2,2,1,1,0,0,0,0,0,0,10,5,6,4,0,NA,40.084056,-88.254774,5,7762,3.14,10.4,39.1,0.697,33,1.2,98,0.12,0.04,0.61,0.24,0.031,17,18,16,3,2,6,22,https://trulia.com/c/il//champaign/address-not-disclosed-champaign-il-61820--2059004336
607 W University Ave #3,Champaign,IL,61820,$740,1915,16,Multi-Family Home,750,(312) 834-3605,1,1,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.116262,-88.252749,5,18139,3.14,10.3,39.1,2.15,43,2.1,480,0.57,0.046,2.3,0.66,0.51,44,33,55,4,5,3,7,https://trulia.com/c/il//champaign/607-w-university-ave-3-champaign-il-61820--2172941129
521 N Hickory St,Champaign,IL,61820,"$1,696",NA,41,Multi-Family Home,"1,600",(217) 352-3498,1,1,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.120147,-88.242557,5,25387,3.14,10.3,39,2.64,47,2.3,470,0.38,0.047,2.2,0.96,0.86,60,44,74,8,8,2,5,https://trulia.com/c/il//champaign/521-n-hickory-st-champaign-il-61820--2105191941
721 Southwest Dr,Champaign,IL,61820,"$1,300",1960,19,Single-Family Home,"1,434",(217) 417-8177,3,3,1,1,0,0,0,0,0,0,10,5,6,4,0,NA,40.095888,-88.256438,5,10124,3.14,10.4,39.1,0.975,36,1.5,130,0.4,0.042,1.1,0.34,0.087,20,17,23,1,2,5,15,https://trulia.com/c/il//champaign/721-southwest-dr-champaign-il-61820--1006604309
311 Avondale Ave,Champaign,IL,61820,"$1,275",NA,19,Single-Family Home,"1,906",(217) 417-8177,2,2,2,2,4,1,2,2,0,1,10,5,6,4,2,4,40.103234,-88.247943,5,24485,3.14,10.4,39.1,2.2,44,2.1,280,0.39,0.045,1.7,0.82,0.69,48,27,65,4,3,2,4,https://trulia.com/c/il//champaign/311-avondale-ave-champaign-il-61820--1077093569
501 S Elm St,Champaign,IL,61820,"$1,200",NA,21,Multi-Family Home,NA,(217) 841-4740,3,3,1,1,4,1,3,1,0,1,10,5,6,4,2,4,40.111488,-88.250078,5,27724,3.14,10.3,39.1,2.35,45,2.2,330,0.46,0.046,1.9,0.83,0.73,49,29,65,5,4,2,4,https://trulia.com/c/il//champaign/501-s-elm-st-champaign-il-61820--2105191532
613 W Hill St #1,Champaign,IL,61820,"$1,290",NA,16,Multi-Family Home,"1,450",(217) 390-6685,2,2,1,1,4,1,3,1,0,1,10,4,6,4,2,4,40.119186,-88.253491,5,15344,3.14,10.3,39.1,1.93,41,1.9,510,0.64,0.047,2.5,0.6,0.37,42,34,50,4,6,5,8,https://trulia.com/c/il//champaign/613-w-hill-st-1-champaign-il-61820--2345947701
508 E White St,Champaign,IL,61820,"$1,080",NA,20,Multi-Family Home,900,(309) 212-6165,3,3,1,1,2,0,1,1,0,3,10,4,6,4,2,4,40.114450,-88.231140,5,36289,3.14,10.3,39,2.31,46,2.2,290,0.26,0.047,2.1,1.6,0.98,63,44,81,11,8,1,2,https://trulia.com/c/il//champaign/508-e-white-st-champaign-il-61820--1024800611
307 E Healey St,Champaign,IL,61820,"$1,125",NA,20,Multi-Family Home,740,(309) 212-6165,3,3,2,2,2,0,1,1,0,3,10,5,6,4,2,4,40.111442,-88.234592,5,34871,3.14,10.3,39,2.34,46,2.2,290,0.29,0.047,2,1.6,0.97,61,41,81,10,7,1,2,https://trulia.com/c/il//champaign/307-e-healey-st-champaign-il-61820--1004163141
706 W Columbia Ave,Champaign,IL,61820,"$1,120",NA,18,Single-Family Home,NA,(312) 834-3605,3,3,1,1,3,2,3,0,0,1,10,4,6,4,2,4,40.121215,-88.253694,5,13453,3.14,10.3,39.1,1.85,40,1.9,520,0.65,0.047,2.7,0.57,0.26,43,37,50,4,7,5,9,https://trulia.com/c/il//champaign/706-w-columbia-ave-champaign-il-61820--2105192630
1211 W Healey St,Champaign,IL,61821,"$1,400",1928,19,Single-Family Home,NA,(217) 417-8177,3,3,2,2,4,1,3,1,0,1,10,5,6,4,2,4,40.111760,-88.266263,5,13853,3.14,10.3,39.1,1.56,38,1.7,360,0.65,0.045,2.1,0.39,0.12,29,26,31,3,4,6,12,https://trulia.com/c/il//champaign/1211-w-healey-st-champaign-il-61821--1015556480
618 W Green St #LOFT,Champaign,IL,61820,$750,NA,21,Multi-Family Home,830,Phone not provided,1,1,1,1,0,0,0,0,0,0,10,5,6,4,0,NA,40.110160,-88.253771,5,18485,3.14,10.4,39.1,2.11,43,2,420,0.57,0.046,2,0.65,0.48,40,25,54,3,4,3,7,https://trulia.com/c/il//champaign/618-w-green-st-champaign-il-61820--1049742075
1114 W Eureka St,Champaign,IL,61821,$850,NA,36,Single-Family Home,888,(217) 251-7421,3,3,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.125775,-88.264080,5,11865,3.14,10.3,39.1,1.89,39,1.8,510,0.62,0.047,3.5,0.47,0.16,46,42,50,4,9,7,10,https://trulia.com/c/il//champaign/1114-w-eureka-st-champaign-il-61821--2105194098
3107 W Daniel St,Champaign,IL,61821,"$1,000",NA,19,Single-Family Home,"1,100",(312) 600-5518,3,3,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.108235,-88.298663,5,9600,3.14,10.3,39.2,1.19,34,1.4,330,0.18,0.042,1.2,0.16,0.031,39,40,37,3,4,8,12,https://trulia.com/c/il//champaign/3107-w-daniel-st-champaign-il-61821--1044868688
1723 Valley Rd #A,Champaign,IL,61820,$825,1968,34,Multi-Family Home,860,(217) 356-4012,2,2,1,1,0,0,0,0,0,0,10,5,6,4,0,NA,40.096659,-88.249400,5,14349,3.14,10.4,39.1,1.43,38,1.6,210,0.38,0.044,1.4,0.61,0.26,38,22,48,2,2,3,6,https://trulia.com/c/il//champaign/1723-valley-rd-a-champaign-il-61820--2345397397
15 E Taylor St #B,Champaign,IL,61820,$950,NA,48,Multi-Family Home,900,(217) 840-0459,2,2,2,2,0,0,0,0,0,0,10,4,6,4,0,NA,40.117157,-88.242583,5,28174,3.14,10.3,39,2.68,47,2.3,380,0.38,0.047,2.1,0.96,0.84,58,39,74,7,7,2,4,https://trulia.com/c/il//champaign/15-e-taylor-st-b-champaign-il-61820--2323268979
406 W Maple St,Champaign,IL,61820,"$1,036",NA,41,Single-Family Home,"1,063",(217) 352-3498,3,3,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.123061,-88.249212,5,13740,3.14,10.3,39.1,2.04,41,2,570,0.57,0.048,2.6,0.7,0.44,52,46,57,7,8,5,8,https://trulia.com/c/il//champaign/406-w-maple-st-champaign-il-61820--2105191263
1107 Scottsdale Dr,Champaign,IL,61821,"$1,150",NA,13,Single-Family Home,NA,(217) 841-4740,3,3,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.103427,-88.288807,5,13378,3.14,10.3,39.2,1.21,35,1.5,200,0.28,0.042,1.2,0.18,0.029,35,36,34,4,5,8,14,https://trulia.com/c/il//champaign/1107-scottsdale-dr-champaign-il-61821--2059015256
201 Avondale Ave,Champaign,IL,61820,"$1,125",NA,32,Single-Family Home,"1,300",(817) 368-5700,2,2,2,2,0,0,0,0,0,0,10,5,6,4,0,NA,40.103432,-88.245283,5,25626,3.14,10.4,39.1,2.36,45,2.2,290,0.34,0.046,1.7,0.87,0.81,52,30,71,6,3,1,3,https://trulia.com/c/il//champaign/201-avondale-ave-champaign-il-61820--2059004594
111 E Healey St,Champaign,IL,61820,$595,NA,64,Multi-Family Home,NA,(309) 212-6165,1,1,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.111361,-88.238500,5,31561,3.14,10.3,39,2.45,46,2.2,330,0.32,0.047,2,1.4,0.94,59,38,78,9,6,1,2,https://trulia.com/c/il//champaign/111-e-healey-st-champaign-il-61820--1004163691
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.067940,-88.295059,5,3118,3.14,10.3,39.2,0.559,29,1,140,0.053,0.037,0.2,0.14,0.0026,15,26,5,3,3,5,12,https://trulia.com/c/il//champaign/3607-s-duncan-rd-champaign-il-61822--2105197889
2306 Carlisle Dr #A,Champaign,IL,61821,$925,NA,65,Multi-Family Home,"1,000",(217) 239-4300,2,2,1,1,0,0,0,0,0,0,10,5,6,4,0,NA,40.085037,-88.268616,5,10208,3.14,10.4,39.2,0.728,33,1.3,64,0.13,0.04,0.62,0.2,0.015,18,19,16,2,2,6,20,https://trulia.com/c/il//champaign/2306-carlisle-dr-a-champaign-il-61821--2282543456
105 E Daniel St,Champaign,IL,61820,"$1,580",NA,92,Multi-Family Home,965,(309) 212-6165,4,4,2,2,0,0,0,0,0,0,10,5,6,4,0,NA,40.107920,-88.237962,5,31568,3.14,10.3,39,2.41,46,2.2,300,0.3,0.046,1.9,1.4,0.92,59,37,79,9,5,1,2,https://trulia.com/c/il//champaign/105-e-daniel-st-champaign-il-61820--1041944267
801 N Randolph St #1,Champaign,IL,61820,"$1,089",NA,50,Multi-Family Home,"1,049",(217) 352-3498,3,3,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.122909,-88.245249,5,16937,3.14,10.3,39.1,2.46,45,2.2,560,0.45,0.048,2.3,0.88,0.72,57,49,66,9,8,4,6,https://trulia.com/c/il//champaign/801-n-randolph-st-1-champaign-il-61820--2344929643
2306 Rodney Dr,Champaign,IL,61821,$970,1957,77,Single-Family Home,"1,250",(312) 600-5518,3,3,2,2,0,0,0,0,0,0,10,5,6,4,0,NA,40.097587,-88.285501,5,13797,3.14,10.3,39.2,1.04,35,1.4,81,0.22,0.041,0.96,0.18,0.018,29,32,27,3,4,6,16,https://trulia.com/c/il//champaign/2306-rodney-dr-champaign-il-61821--1076562464
1217 W Beardsley Ave,Champaign,IL,61821,$795,NA,92,Single-Family Home,NA,(217) 377-8850,3,3,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.126522,-88.267311,5,10320,3.14,10.3,39.1,1.84,38,1.8,510,0.59,0.047,3.7,0.42,0.13,47,44,49,4,9,7,10,https://trulia.com/c/il//champaign/1217-w-beardsley-ave-champaign-il-61821--2105194471
1913 Melrose Dr #A,Champaign,IL,61820,$895,NA,77,Single-Family Home,700,(217) 352-1335,2,2,1,1,0,0,0,0,0,0,10,5,6,4,0,NA,40.086005,-88.254801,5,7936,3.14,10.4,39.1,0.717,33,1.2,98,0.14,0.04,0.65,0.24,0.034,17,18,16,2,2,6,21,https://trulia.com/c/il//champaign/1913-melrose-dr-a-champaign-il-61820--2059004384
735 S Mattis Ave #3,Champaign,IL,61821,$895,NA,92,Multi-Family Home,"1,600",(217) 239-4300,3,3,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.108694,-88.276725,5,13731,3.14,10.3,39.2,1.38,36,1.6,270,0.49,0.043,1.7,0.23,0.05,34,35,32,4,4,8,13,https://trulia.com/c/il//champaign/735-s-mattis-ave-3-champaign-il-61821--2343938091
1901 Joanne Ln,Champaign,IL,61821,$850,NA,70,Single-Family Home,NA,(217) 377-8850,3,3,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.135391,-88.271890,5,6319,3.14,10.3,39.1,1.59,36,1.8,510,0.33,0.049,4.3,0.33,0.086,62,62,62,8,15,7,10,https://trulia.com/c/il//champaign/1901-joanne-ln-champaign-il-61821--2059018139
11 E Columbia Ave #306,Champaign,IL,61820,"$1,100",2014,61,Multi-Family Home,805,(217) 352-3498,2,2,1,1,2,1,1,0,0,2,10,4,6,4,2,4,40.121217,-88.231300,5,27163,3.14,10.3,39,2.48,46,2.2,460,0.23,0.049,2.4,1.8,1,68,54,81,14,9,1,3,https://trulia.com/c/il//champaign/11-e-columbia-ave-306-champaign-il-61820--2344723432
403 E White St,Champaign,IL,61820,"$1,160",NA,97,Multi-Family Home,750,(217) 359-6108,2,2,1,1,1,0,1,1,0,1,10,4,6,4,2,4,40.114396,-88.233030,5,35917,3.14,10.3,39,2.33,46,2.2,290,0.28,0.047,2,1.6,0.97,62,43,81,10,8,1,2,https://trulia.com/c/il//champaign/403-e-white-st-champaign-il-61820--1002289536
610 E Springfield Ave,Champaign,IL,61820,$700,NA,96,Multi-Family Home,438,(217) 359-6108,1,1,1,1,1,0,1,1,0,1,10,5,6,4,2,4,40.112717,-88.229322,5,37770,3.14,10.3,39,2.22,45,2.1,270,0.26,0.047,2,1.6,0.98,62,44,81,11,8,1,2,https://trulia.com/c/il//champaign/610-e-springfield-ave-champaign-il-61820--1002304350
1658 Valley Rd,Champaign,IL,61820,$925,1968,92,Multi-Family Home,"1,000",(217) 356-4012,2,2,1,1,3,1,1,1,0,1,10,5,6,4,2,4,40.097411,-88.249297,5,15794,3.14,10.4,39.1,1.6,40,1.7,220,0.38,0.044,1.5,0.65,0.33,40,23,53,2,2,2,5,https://trulia.com/c/il//champaign/1658-valley-rd-champaign-il-61820--2343605791
2003 S Mattis Ave #C,Champaign,IL,61821,$745,NA,69,Townhome,870,(217) 239-4300,2,2,1,1,3,1,1,1,0,1,10,5,6,4,2,5,40.090023,-88.276438,5,12097,3.14,10.3,39.2,0.819,34,1.3,33,0.19,0.04,0.74,0.19,0.012,19,21,18,2,3,6,17,https://trulia.com/c/il//champaign/2003-s-mattis-ave-c-champaign-il-61821--2184559034
503 E White St,Champaign,IL,61820,$960,NA,92,Multi-Family Home,750,(217) 352-3182,3,3,1,1,1,0,1,1,0,1,10,4,6,4,2,4,40.114394,-88.231612,5,36538,3.14,10.3,39,2.31,45,2.2,290,0.26,0.047,2.1,1.6,0.98,63,44,81,11,8,1,2,https://trulia.com/c/il//champaign/503-e-white-st-champaign-il-61820--1024597878
203 E Healey St,Champaign,IL,61820,$990,NA,91,Multi-Family Home,720,(309) 212-6165,3,3,1,1,3,1,2,0,0,1,10,5,6,4,2,4,40.111428,-88.236572,5,34253,3.14,10.3,39,2.37,46,2.2,300,0.3,0.047,2,1.5,0.94,60,40,79,9,6,1,2,https://trulia.com/c/il//champaign/203-e-healey-st-champaign-il-61820--1024607034
11 E Columbia Ave #206,Champaign,IL,61820,"$1,065",2014,61,Multi-Family Home,805,(217) 352-3498,2,2,1,1,2,1,1,0,0,2,10,4,6,4,2,4,40.121056,-88.242804,5,22791,3.14,10.3,39,2.63,46,2.3,500,0.38,0.048,2.2,0.96,0.89,60,46,73,9,9,3,5,https://trulia.com/c/il//champaign/11-e-columbia-ave-206-champaign-il-61820--2344723373
2003 Hemlock Dr,Champaign,IL,61821,"$1,250",NA,78,Single-Family Home,"1,000",(217) 712-7082,3,3,1,1,3,1,1,1,0,1,10,5,6,4,2,5,40.091954,-88.280163,5,12427,3.14,10.3,39.2,0.886,34,1.3,29,0.21,0.04,0.79,0.18,0.012,23,26,20,2,3,7,16,https://trulia.com/c/il//champaign/2003-hemlock-dr-champaign-il-61821--1076202582
1706 Valley Rd,Champaign,IL,61820,$900,1968,50,Multi-Family Home,"1,000",(217) 356-4012,2,2,1,1,3,1,1,1,0,1,10,5,6,4,2,4,40.096846,-88.249288,5,14717,3.14,10.4,39.1,1.47,39,1.7,220,0.39,0.044,1.4,0.63,0.27,39,23,50,2,2,3,6,https://trulia.com/c/il//champaign/1706-valley-rd-champaign-il-61820--2344917422
11 E Columbia Ave #203,Champaign,IL,61820,"$1,187",2014,61,Multi-Family Home,805,(217) 352-3498,2,2,1,1,2,2,2,0,0,3,10,4,6,4,2,4,40.121217,-88.231300,5,27163,3.14,10.3,39,2.48,46,2.2,460,0.23,0.049,2.4,1.8,1,68,54,81,14,9,1,3,https://trulia.com/c/il//champaign/11-e-columbia-ave-203-champaign-il-61820--2345461002
11 E Columbia Ave #204,Champaign,IL,61820,"$1,065",2014,55,Multi-Family Home,805,(217) 352-3498,2,2,1,1,2,2,2,0,0,3,10,4,6,4,2,4,40.121056,-88.242804,5,22791,3.14,10.3,39,2.63,46,2.3,500,0.38,0.048,2.2,0.96,0.89,60,46,73,9,9,3,5,https://trulia.com/c/il//champaign/11-e-columbia-ave-204-champaign-il-61820--2344789691
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.728041,-92.555302,6,327,3.14,10,39.7,0.434,51,1.8,1.8,0.035,0.023,0.069,0.043,0,13,8,17,0,15,5,18,https://trulia.com/c/il//champaign/1907-david-dr-champaign-il-61821--1004191340
513 N Hickory St #210,Champaign,IL,61820,"$1,155",2008,49,Multi-Family Home,740,(217) 352-3498,2,2,1,1,2,2,2,0,0,3,10,4,6,4,2,4,40.120116,-88.242586,5,25422,3.14,10.3,39,2.64,47,2.3,470,0.38,0.047,2.2,0.96,0.86,60,44,74,8,8,2,5,https://trulia.com/c/il//champaign/513-n-hickory-st-210-champaign-il-61820--2344929562
1519 Hedge Rd,Champaign,IL,61821,"$1,175",NA,65,Single-Family Home,NA,(217) 377-8850,5,5,2,2,4,1,4,0,0,0,10,4,6,4,2,5,40.131921,-88.271103,5,7757,3.14,10.3,39.1,1.63,36,1.8,490,0.41,0.048,4,0.34,0.094,56,54,58,7,12,7,10,https://trulia.com/c/il//champaign/1519-hedge-rd-champaign-il-61821--2059016989
1406 Cobblestone Way,Champaign,IL,61822,"$1,690",NA,71,Single-Family Home,"1,980",(217) 239-4300,3,3,2,2,4,3,0,1,1,0,10,4,6,4,2,5,40.130469,-88.304798,5,6299,3.14,10.3,39.3,0.723,30,1.1,380,0.012,0.044,1.6,0.14,0.018,25,28,21,2,2,11,7,https://trulia.com/c/il//champaign/1406-cobblestone-way-champaign-il-61822--1004792826
2317 Butternut Ct,Champaign,IL,61821,"$1,490",NA,69,Single-Family Home,"1,685",(217) 840-0388,4,4,2,2,4,1,2,1,0,2,10,5,6,4,2,5,40.084756,-88.282377,5,10506,3.14,10.3,39.2,0.744,33,1.2,66,0.11,0.039,0.55,0.17,0.0051,18,21,16,2,3,5,18,https://trulia.com/c/il//champaign/2317-butternut-ct-champaign-il-61821--1004304751
513 N Hickory St #205,Champaign,IL,61820,"$1,290",NA,61,Multi-Family Home,"1,171",(217) 352-3498,2,2,1,1,2,2,2,0,0,3,10,4,6,4,2,4,40.120116,-88.242586,5,25422,3.14,10.3,39,2.64,47,2.3,470,0.38,0.047,2.2,0.96,0.86,60,44,74,8,8,2,5,https://trulia.com/c/il//champaign/513-n-hickory-st-205-champaign-il-61820--2344723562
1801 W John St #3,Champaign,IL,61821,$995,NA,92,Multi-Family Home,"1,600",(217) 239-4300,3,3,1,1,4,1,3,1,0,1,10,4,6,4,2,5,40.108932,-88.276748,5,13500,3.14,10.3,39.2,1.39,36,1.6,270,0.49,0.043,1.7,0.23,0.051,34,35,32,4,4,8,13,https://trulia.com/c/il//champaign/1801-w-john-st-3-champaign-il-61821--2343611811
1101 W Springfield Ave,Champaign,IL,61821,"$1,250",NA,180+,Single-Family Home,NA,(217) 377-8850,4,4,2,2,4,1,3,1,0,1,10,5,6,4,2,4,40.112645,-88.262761,5,14884,3.14,10.3,39.1,1.61,39,1.8,400,0.68,0.045,2.2,0.45,0.15,30,25,35,2,4,6,11,https://trulia.com/c/il//champaign/1101-w-springfield-ave-champaign-il-61821--1001809311
622 W Clark St #3,Champaign,IL,61820,$795,NA,132,Multi-Family Home,900,(217) 239-4300,2,2,1,1,4,1,3,1,0,1,10,5,6,4,2,4,40.115342,-88.254040,5,17005,3.14,10.3,39.1,2.03,42,2,480,0.61,0.046,2.2,0.62,0.45,41,29,52,4,4,4,7,https://trulia.com/c/il//champaign/622-w-clark-st-3-champaign-il-61820--2194506723
1513 Lincolnshire Dr,Champaign,IL,61821,$830,NA,98,Townhome,"1,100",(217) 239-4300,2,2,1,1,4,1,3,1,0,1,10,4,6,4,2,4,40.097298,-88.270392,5,13384,3.14,10.3,39.2,0.965,35,1.4,64,0.36,0.042,1.1,0.23,0.034,22,23,20,2,3,7,16,https://trulia.com/c/il//champaign/1513-lincolnshire-dr-champaign-il-61821--2185742806
713 S Randolph St #13,Champaign,IL,61820,$625,NA,169,Multi-Family Home,850,(217) 377-8850,2,2,1,1,4,1,2,2,0,1,10,5,6,4,2,4,40.107618,-88.245158,5,29441,3.14,10.3,39.1,2.49,46,2.3,330,0.37,0.046,1.9,0.91,0.79,53,32,71,7,5,1,3,https://trulia.com/c/il//champaign/713-s-randolph-st-13-champaign-il-61820--2329828930
210 W Washington St,Champaign,IL,61820,"$1,295",NA,113,Single-Family Home,NA,(217) 384-5555,4,4,2,2,2,2,2,0,0,3,10,4,6,4,2,4,40.120237,-88.246322,5,21495,3.14,10.3,39.1,2.57,46,2.3,520,0.43,0.047,2.2,0.89,0.82,56,43,69,8,7,3,5,https://trulia.com/c/il//champaign/210-w-washington-st-champaign-il-61820--1004115640
107 E Daniel St #203,Champaign,IL,61820,"$1,800",NA,160,Multi-Family Home,NA,(217) 384-5555,4,4,2,2,4,1,2,2,0,1,10,5,6,4,2,4,40.107920,-88.237723,5,31719,3.14,10.3,39,2.4,46,2.2,300,0.3,0.046,1.9,1.4,0.93,59,37,80,9,6,1,2,https://trulia.com/c/il//champaign/107-e-daniel-st-203-champaign-il-61820--2196829246
800 W Church St #14,Champaign,IL,61820,$550,NA,111,Multi-Family Home,550,(217) 356-8750,2,2,1,1,4,1,3,1,0,1,10,4,6,4,2,4,40.118284,-88.255980,5,14331,3.14,10.3,39.1,1.79,40,1.8,490,0.68,0.046,2.6,0.54,0.24,38,31,45,3,6,5,9,https://trulia.com/c/il//champaign/800-w-church-st-14-champaign-il-61820--2340428561
606 S Mattis Ave,Champaign,IL,61821,$800,NA,98,Multi-Family Home,750,(217) 359-3527,2,2,1,1,4,1,3,1,0,1,10,4,6,4,2,5,40.109752,-88.276665,5,13403,3.14,10.3,39.2,1.4,36,1.6,280,0.49,0.043,1.8,0.24,0.053,33,35,32,4,4,8,13,https://trulia.com/c/il//champaign/606-s-mattis-ave-champaign-il-61821--2105196675
604 S Neil St #204,Champaign,IL,61820,$900,2015,132,Multi-Family Home,695,(217) 356-8750,NA,NA,NA,NA,4,1,2,2,0,1,10,4,6,4,2,4,40.109904,-88.243425,5,29464,3.14,10.4,39.1,2.51,47,2.3,330,0.37,0.046,1.9,0.93,0.81,54,33,73,7,5,1,3,https://trulia.com/c/il//champaign/604-s-neil-st-204-champaign-il-61820--2338082416
212 W Hill St #D,Champaign,IL,61820,"$1,140",1920,168,Multi-Family Home,"1,100",(224) 252-1458,2,2,1,1,2,2,2,0,0,3,10,4,6,4,2,4,40.119277,-88.246602,5,23090,3.14,10.3,39.1,2.6,46,2.3,480,0.42,0.047,2.2,0.89,0.83,56,40,70,7,7,3,5,https://trulia.com/c/il//champaign/212-w-hill-st-d-champaign-il-61820--2172621069
1008 N Hickory St #2,Champaign,IL,61820,$600,NA,118,Multi-Family Home,NA,(217) 377-8850,3,3,1,1,2,1,4,0,0,2,10,4,6,4,2,4,40.125627,-88.242287,5,12826,3.14,10.3,39,2.34,44,2.2,540,0.45,0.049,2.4,0.92,0.55,60,58,63,10,9,4,7,https://trulia.com/c/il//champaign/1008-n-hickory-st-2-champaign-il-61820--2171842765
1616 Maynard Dr #A,Champaign,IL,61822,$975,1979,100,Multi-Family Home,"1,580",(217) 352-8100,3,3,1,1,1,3,2,1,0,3,10,5,6,4,2,5,40.097204,-88.298067,5,10440,3.14,10.3,39.3,1.07,33,1.3,210,0.14,0.04,0.79,0.15,0.021,25,27,22,2,3,6,16,https://trulia.com/c/il//champaign/1616-maynard-dr-a-champaign-il-61822--2174571822
1515 Stonebluff Ct,Champaign,IL,61822,"$1,690",NA,126,Single-Family Home,"1,980",(217) 239-4300,3,3,2,2,4,3,0,1,1,0,10,4,6,4,2,5,40.133441,-88.302798,5,6147,3.14,10.3,39.3,0.723,30,1.1,390,0.012,0.044,1.5,0.14,0.017,25,29,21,2,2,11,6,https://trulia.com/c/il//champaign/1515-stonebluff-ct-champaign-il-61822--2059022300
308 E Clark St,Champaign,IL,61820,"$2,480",NA,113,Single-Family Home,NA,(217) 384-5555,4,4,3,3,2,0,1,1,0,3,10,4,6,4,2,4,40.115404,-88.234511,5,34349,3.14,10.3,39,2.39,46,2.2,320,0.29,0.047,2.1,1.6,0.97,62,43,80,9,8,1,3,https://trulia.com/c/il//champaign/308-e-clark-st-champaign-il-61820--1002303739
801 N Randolph St #A,Champaign,IL,61820,$980,NA,180+,Multi-Family Home,"1,019",(217) 352-3498,3,3,1,1,2,2,2,0,0,3,10,4,6,4,2,4,40.122909,-88.245249,5,16937,3.14,10.3,39.1,2.46,45,2.2,560,0.45,0.048,2.3,0.88,0.72,57,49,66,9,8,4,6,https://trulia.com/c/il//champaign/801-n-randolph-st-a-champaign-il-61820--2297859520
107 E Daniel St #102,Champaign,IL,61820,"$1,800",NA,160,Multi-Family Home,NA,(217) 384-5555,4,4,2,2,4,1,2,2,0,1,10,5,6,4,2,4,40.107920,-88.237723,5,31719,3.14,10.3,39,2.4,46,2.2,300,0.3,0.046,1.9,1.4,0.93,59,37,80,9,6,1,2,https://trulia.com/c/il//champaign/107-e-daniel-st-102-champaign-il-61820--2196826434
